basin,nse,nse_rg,nse_r1,nse_c1,nse_g1,nse_bfi_r1,nse_bfi_c1,nse_bfi_g1,bfi_obs,bfi_r1,bfi_c1,bfi_g1,qmean_obs,qmean_r1,qmean_c1,qmean_g1,slope_obs,slope_r1,slope_c1,slope_g1,hfd_obs,hfd_r1,hfd_c1,hfd_g1
LU000018,0.3284872750186508,-0.023134146426252333,0.6098802032320619,0.2813929282134111,0.6330143496583143,,,,0.5491332552226622,0.6961043714717309,0.8626019092066861,0.5307706805059952,0.8958442072655957,0.6764438837000906,0.6758871668682641,0.6641724446900392,2.305894875074405,1.7717734660543467,1.2017868510090606,2.6366368040577295,127.38461538461539,144.6153846153846,168.53846153846155,128.69230769230768
LU000010,0.2518398559025852,0.051203216251942796,0.7236159239597744,0.4717760680571892,0.6724127077078316,,,,0.6187599923498417,0.702311880062188,0.8351353116391395,0.528042021046547,0.9264638449166221,0.771518201871338,0.7675935454140403,0.7527267272390151,1.430666764097312,1.8408568772460048,1.2992283374056643,2.690003418106489,130.6153846153846,144.53846153846155,164.07692307692307,127.6923076923077
LU000001,0.021238491831295225,0.4955596111185453,0.8751096003760688,0.8538711085447735,0.3795499892575235,,,,0.5468503966298911,0.5409771723950676,0.5834842509873843,0.8304595877540066,1.192096235012109,1.1362516224409818,1.0456603061191196,1.1374681480937099,3.860265270934023,3.2726583416223254,2.907496686001676,1.8636953601736412,121.61538461538461,125.07692307692308,129.6153846153846,164.30769230769232
DERP2028,0.0778243556336563,-0.05286615612724277,0.5081973484507867,0.4303729928171304,0.5610635045780294,0.20216653409897556,0.22353846999985716,0.2794868461230201,0.5912286564625354,0.8319551452960244,0.8291830788669889,0.8116015121992916,1.076659242459983,1.0027395247730213,0.9720770207429769,1.0153557237052737,2.249832566632805,1.6007482720223856,1.6092335071434098,1.7868741093230944,131.46153846153845,164.96153846153845,166.96153846153845,162.03846153846155
FR000183,0.022440591997450854,-0.02223165437804664,0.44975878509566347,0.4273181930982126,0.4719904394737101,,,,0.7263461280996635,0.7776301861389932,0.748099651540183,0.75620598771333,1.3587597394179618,1.1091025637175198,1.090442721257358,1.1434713442626645,2.2048638196473735,1.6368102743352086,1.722597905094452,1.869160351726557,147.25,156.16666666666666,153.25,152.25
DERP2008,0.05031633693153115,-0.0327351704422969,0.777997202883046,0.7276808659515148,0.8107323733253429,0.8217269390444832,0.7145523939525076,0.7901137539964427,0.4632010969159292,0.5526088803346486,0.6077428275208164,0.5158078222231959,1.0472986121931485,1.0516009647376563,1.0149606089080834,0.994014236093746,3.555971392328444,3.388135623953748,2.9226350921873205,2.8938846067577697,120.88461538461539,128.0,133.84615384615384,129.23076923076923
FR000137,0.020570869788206214,0.009308718972659391,0.7908248564151045,0.7702539866268983,0.7815161374424451,,,,0.5079481042588097,0.5446592111005614,0.5553659355712283,0.5078142524704818,0.9956666274344927,0.922900027643901,0.9643179249119427,0.9676205377810508,2.9663314793754534,2.765783602158988,2.7093106112409493,3.109015385240798,124.30434782608695,127.43478260869566,131.65217391304347,124.30434782608695
FR003294,-0.006354695003066735,-0.01220840908078924,0.6542911615683618,0.6606458565714285,0.666499570649151,,,,0.5169186781536074,0.5108520662450856,0.53031642230543,0.5111643578503845,0.9148306708232089,0.72589809085005,0.76602589590348,0.7666617382462578,2.5154940473730383,3.0770182430059196,2.868454737062978,3.0779692914001204,129.0952380952381,125.85714285714286,131.28571428571428,126.33333333333333
FR000185,-0.09567987370993825,-0.04737142271153716,0.15705000608896502,0.25272987979890327,0.20442142880050218,,,,0.5417133374177967,0.8208562019715131,0.7842338101886529,0.7926490532375748,0.7993524710435663,1.180572566871799,1.1622512915016312,1.2176897788050733,3.2063018307440525,1.401838860202952,1.6169811763513962,1.6734918480810872,145.27777777777777,167.66666666666666,161.5,162.16666666666666
FR000154,-0.030576934522446475,-0.009424534413809749,0.7069826441324192,0.7375595786548657,0.7164071785462289,,,,0.5431762661877202,0.5398871576038191,0.5692785928882849,0.5305801897709729,0.8637251282104524,0.6633173854902674,0.6973724478213628,0.6998307768202369,1.9657436908760961,3.015398255158643,2.7675825345072833,3.1566113288036286,130.75,127.41666666666667,132.04166666666666,126.625
