basin,nse,nse_rg,nse_r1comp,nse_c1comp,nse_g1comp,nse_bfi_r1comp,nse_bfi_c1comp,nse_bfi_g1comp,bfi_obs,bfi_r1comp,bfi_c1comp,bfi_g1comp,qmean_obs,qmean_r1comp,qmean_c1comp,qmean_g1comp,slope_obs,slope_r1comp,slope_c1comp,slope_g1comp,hfd_obs,hfd_r1comp,hfd_c1comp,hfd_g1comp
LU000018,0.0846467851698609,0.0354833664208517,0.649254165078194,0.5646073799083331,0.6137707986573423,,,,0.5491332552226622,0.6373799342983165,0.777791264934587,0.5408531016956876,0.8958442072655957,0.7143982723330279,0.7155972329135722,0.7580008247465496,2.305894875074405,2.0238747772044325,1.00365337600941,3.0051008718739096,127.38461538461539,135.84615384615384,154.0,129.30769230769232
LU000010,0.019676066017774607,0.13624648997268596,0.7575824207506994,0.7379063547329248,0.6213359307780134,,,,0.6187599923498417,0.6403411069975947,0.7547697421333918,0.5360803178659612,0.9264638449166221,0.807504371700193,0.8143654099815646,0.8542322835205595,1.430666764097312,2.040599600368543,1.1026310213157826,3.127526456591072,130.6153846153846,135.30769230769232,149.84615384615384,128.15384615384616
LU000001,0.04745388397390149,0.3419039913813461,0.8498820939652746,0.8024282099913731,0.5079781025839285,,,,0.5468503966298911,0.6261178939397511,0.6744258602890489,0.8376143390872999,1.192096235012109,1.1430533664598237,1.1073307015728127,1.0598695245563376,3.860265270934023,2.7819080313674043,1.9293148212773135,0.8234138545209438,121.61538461538461,135.84615384615384,141.84615384615384,157.07692307692307
DERP2028,0.03180148324421983,-0.005248693784392411,0.6895836938517108,0.657782210607491,0.6948323876361032,0.5757620466002502,0.4131104970172399,0.5589119609638324,0.5912286564625354,0.7655337558246069,0.7785858660864811,0.7654772505323824,1.076659242459983,0.9979199325230605,0.9974591077097293,1.0077282226248812,2.249832566632805,1.480643707811564,1.2556411595261276,1.5098343177152471,131.46153846153845,148.84615384615384,154.92307692307693,148.92307692307693
FR000183,0.01374892155084173,-0.021221220940242813,0.4488450619136717,0.43509614036282995,0.4700662828539145,,,,0.7263461280996635,0.7087117234076589,0.6856937153440786,0.7287462661427097,1.3587597394179618,1.1317282167814222,1.1352552623229908,1.1390116251900542,2.2048638196473735,1.594411267051248,1.57001377817326,1.5642015923567572,147.25,142.95833333333334,141.79166666666666,145.25
DERP2008,0.0819898953963698,-0.09846440922294497,0.7354782996642177,0.6534884042678479,0.8339427088871627,0.5544746039534947,0.310308581172695,0.8460708777731789,0.4632010969159292,0.639667735925489,0.690402493282313,0.5264565509764312,1.0472986121931485,1.076377648710187,1.0572994766437769,1.0187429569778563,3.555971392328444,2.885231722423872,2.3150097562138874,2.9886108381945498,120.88461538461539,136.96153846153845,142.57692307692307,129.19230769230768
FR000137,0.007161925356077625,-0.014884367746088145,0.7766386242724448,0.7694766989163672,0.7915229920185329,,,,0.5079481042588097,0.5256748303221807,0.5410224757145585,0.5159331564866492,0.9956666274344927,1.023544269612944,1.0214985574193534,0.998418383636804,2.9663314793754534,3.0692841913675295,3.1535164614576465,3.2004804866339,124.30434782608695,126.04347826086956,125.3913043478261,125.17391304347827
FR003294,0.019473770474442764,-0.001356248890916456,0.6517523655508519,0.6322785950764092,0.6531086144417684,,,,0.5169186781536074,0.5060637949593035,0.5251927870000824,0.5206637893579634,0.9148306708232089,0.8120035701599979,0.8096415381154892,0.7914752758947554,2.5154940473730383,3.380638682129103,3.5781389016717497,3.2732733403609213,129.0952380952381,126.47619047619048,125.80952380952381,126.57142857142857
FR000185,0.00944338939370315,0.028952321946392412,0.2710844891602785,0.26164109976657535,0.24213216721388608,,,,0.5417133374177967,0.7365741823778227,0.7119495072979484,0.7474818929371594,0.7993524710435663,1.1861051825157096,1.1956142286404425,1.2038637397660825,3.2063018307440525,1.4345399883375356,1.3774286401903755,1.4306643904088003,145.27777777777777,150.0,149.44444444444446,151.55555555555554
FR000154,0.00539808214789228,-0.005886961828547976,0.7189526256672223,0.71355454351933,0.7248395874957703,,,,0.5431762661877202,0.5296573608247134,0.5565967475200014,0.5391685330937411,0.8637251282104524,0.7406567604424152,0.7361096132690687,0.7229407298995583,1.9657436908760961,3.35668480619268,3.358392734396644,3.334568122254849,130.75,126.70833333333333,127.04166666666667,126.75
