basin,nse,nse_rg,nse_r1comp,nse_c1comp,nse_g1comp,nse_bfi_r1comp,nse_bfi_c1comp,nse_bfi_g1comp,bfi_obs,bfi_r1comp,bfi_c1comp,bfi_g1comp,qmean_obs,qmean_r1comp,qmean_c1comp,qmean_g1comp,slope_obs,slope_r1comp,slope_c1comp,slope_g1comp,hfd_obs,hfd_r1comp,hfd_c1comp,hfd_g1comp
LU000018,0.15505422972714689,-0.001928328537526558,0.6970535594495724,0.5419993297224255,0.6989818879870989,,,,0.5491332552226622,0.6469214812083123,0.7944693650803991,0.5415720318946956,0.8958442072655957,0.7342636010988987,0.7312017214020826,0.7556602877142258,2.305894875074405,1.5451478066289628,0.8699306318404586,2.622518764290347,127.38461538461539,139.07692307692307,156.92307692307693,129.69230769230768
LU000010,0.09533559779649503,0.07681933628548587,0.8140334622289382,0.7186978644324432,0.7372141259434524,,,,0.6187599923498417,0.6533248680654393,0.7703822364047807,0.5370860662330146,0.9264638449166221,0.8340977189757435,0.8324798653445885,0.8562914944431855,1.430666764097312,1.489191282741393,0.9373611437756665,2.644874171985084,130.6153846153846,138.3846153846154,152.84615384615384,128.53846153846155
LU000001,-0.004486696045187921,0.2783361983684076,0.8786366791065879,0.8831233751517759,0.6003004807381803,,,,0.5468503966298911,0.5396098845731803,0.5618093759592715,0.7875040671507544,1.192096235012109,1.1804050508553532,1.1790391197213046,1.0958422086508801,3.860265270934023,3.9660812311350933,3.63518631605022,0.9042739328847605,121.61538461538461,124.3076923076923,126.76923076923077,152.84615384615384
DERP2028,0.04493960511471662,-0.09252892312281258,0.6457983947763368,0.6008587896616202,0.7383273178991494,0.443093678107055,0.3674666454311236,0.6653609020103679,0.5912286564625354,0.794259140254327,0.8120952402554843,0.7373441307634784,1.076659242459983,0.9183518263400013,0.9126571951457745,0.907534299905347,2.249832566632805,1.1816337533743235,1.103699526579148,1.3577449601365987,131.46153846153845,157.53846153846155,160.53846153846155,148.8846153846154
FR000183,0.004789068039820932,-0.017353610478413994,0.3809647798452358,0.37617571180541487,0.3983183903236498,,,,0.7263461280996635,0.7331558982905825,0.7136523586155444,0.6944187010722439,1.3587597394179618,1.062155184301467,1.061555937608826,1.0473586597287894,2.2048638196473735,1.1650946267458504,1.262307109725466,1.553527187972992,147.25,149.25,147.45833333333334,142.79166666666666
DERP2008,0.01070671728918482,-0.027836865940061184,0.7954198932200758,0.784713175930891,0.823256759160137,0.789629210205189,0.7682726297092888,0.8018295867484024,0.4632010969159292,0.5706365906525114,0.5951268556187942,0.5400447030213256,1.0472986121931485,0.978339712156252,0.9754319332432857,0.9591698382139429,3.555971392328444,3.333591695861573,3.015877119166911,2.6900199202213764,120.88461538461539,130.84615384615384,133.03846153846155,131.84615384615384
FR000137,-0.0035348876777322458,-0.010595074532650184,0.7972333204676564,0.8007682081453886,0.8078283950003066,,,,0.5079481042588097,0.5347743440120525,0.5510290394271589,0.5298506737448069,0.9956666274344927,0.9433647709285828,0.9477211048811905,0.944481212747334,2.9663314793754534,2.8239233597232976,2.6981351479885802,2.9090074640225,124.30434782608695,126.30434782608695,128.7826086956522,127.91304347826087
FR003294,-0.01253007059201039,-0.020970658766457095,0.6675491878098962,0.6800792584019066,0.6885198465763533,,,,0.5169186781536074,0.510588441204057,0.5301179274725543,0.5348304433399873,0.9148306708232089,0.7433216279691441,0.7484232392082655,0.7461285276841064,2.5154940473730383,3.2645735478436073,3.0400800716172185,2.8609845120524193,129.0952380952381,126.0,129.14285714285714,130.0952380952381
FR000185,-0.030973474210157503,-0.1202974255378032,0.279537554163365,0.3105110283735225,0.3998349797011682,,,,0.5417133374177967,0.7692796279599486,0.7473157529908552,0.7147017873216861,0.7993524710435663,1.079718395135689,1.0806311720106017,1.0729189232622256,3.2063018307440525,1.0493542700215914,1.125532088538917,1.4119094841203816,145.27777777777777,158.22222222222223,156.16666666666666,150.55555555555554
FR000154,-0.023072189291830747,-0.028813558903282188,0.7140237015876377,0.7370958908794685,0.7428372604909199,,,,0.5431762661877202,0.5345211892379402,0.5629183986953217,0.5524425466044713,0.8637251282104524,0.6711831503580993,0.6754931637607419,0.6761643440630289,1.9657436908760961,3.142231242142152,2.829224652938603,2.8716886573111458,130.75,127.08333333333333,130.5,129.95833333333334
FR003307,0.01866533552433458,0.009125355061893936,0.8382049818761718,0.8195396463518372,0.8290796268142778,,,,0.48802860347278665,0.5353746810594067,0.5760213407024788,0.5477167367098307,0.7842232990660046,0.6367381519302326,0.6394010969044973,0.6419130268796688,3.3929812296089343,3.047045127336093,2.561941488794108,2.8222536395445332,122.36,126.68,130.08,128.28
FR003256,0.02732347381824085,0.0015608389466670314,0.7662651254108008,0.73894165159256,0.7647042864641338,,,,0.5234492103005389,0.6259223281396767,0.6597776244098326,0.6322761128022233,0.9943526845625006,0.8507327121843296,0.8517251809734183,0.8442496459163517,2.3787419853905885,1.829603185732661,1.6010493880095868,1.891732680345428,128.3125,135.5,139.3125,136.0625
DERP2004,0.0077322410231425165,0.1652663931215661,0.8607167102144486,0.8529844691913061,0.6954503170928825,0.8032681142000999,0.7819124790441678,0.27877523050404296,0.5001961046867561,0.5749040746039361,0.5838316627744007,0.7104060440082569,1.2123051432798406,1.2466638789453763,1.2438286977985078,1.1827721730507075,3.0978596160693375,3.127106083619285,3.081276846467728,1.3805088101782195,125.73076923076923,130.73076923076923,132.46153846153845,145.80769230769232
FR003252,0.06828016763515021,0.002876881390837416,0.7861681568947375,0.7178879892595873,0.7832912755039001,,,,0.6693441995521313,0.6815297967680932,0.5919601918771593,0.6540629664786033,1.683498334877289,1.592391212943945,1.6380212733309398,1.5668448325148465,2.0874403893284983,1.8264216277971472,2.5164196766068763,2.1146906383919304,149.33333333333334,142.83333333333334,137.66666666666666,141.0
FR003302,0.0025581457586970613,0.0007891997349758206,0.8640334125751341,0.861475266816437,0.8632442128401583,,,,0.5461876410176256,0.5987645110475465,0.6057909882758117,0.5985624520492967,0.8495899649369768,0.8336182551997513,0.8366742992165069,0.8296253733951419,2.4046815359867963,2.158256544928664,2.1666015928850832,2.2520138568172015,131.33333333333334,133.75,134.79166666666666,134.375
FR003249,-0.004248151151749924,-0.003771225294362246,0.8965500894762465,0.9007982406279964,0.9003213147706087,,,,0.5796744249010707,0.610100001365186,0.5961533310838161,0.605331070417207,1.57132401475247,1.5185410848705148,1.5192409371055062,1.4950455229288133,2.7292696550983586,2.336459532864888,2.4220677980772534,2.5422706872876706,128.30769230769232,130.65384615384616,130.46153846153845,130.53846153846155
FR000144,0.107473197109346,0.08099805950780314,0.21818651542701417,0.11071331831766817,0.13718845591921103,,,,0.6872353910753508,0.8178695311606496,0.7331677662489515,0.7436056395472929,1.444598096445125,1.1615762459147856,1.173175235414975,1.1428370446462741,2.1998091011604126,0.8698045759191434,1.41285210651208,1.3367300460617626,173.23809523809524,162.0952380952381,147.42857142857142,148.66666666666666
LU000006,-0.00019592883137886652,0.04829810345475716,0.8802980925652695,0.8804940213966483,0.8319999891105123,,,,0.572308467363715,0.5841859874398663,0.61006607286916,0.6713795308899866,0.9586417313463302,0.8401629988817196,0.8438112823301583,0.8214726155289201,2.4141306296435143,2.8375010216280656,2.585915016421468,1.561611890226577,127.46153846153847,131.23076923076923,133.92307692307693,140.07692307692307
LU000007,-0.00541481946844713,0.012167021478800777,0.8264466629327816,0.8318614824012287,0.8142796414539808,,,,0.5820376371289808,0.5966318519313887,0.6345794120382221,0.5612819125775051,0.8377600275319108,0.7288573309074583,0.7347368807301252,0.7447761208187416,2.179298871547911,2.0840528416141804,1.8297474341319238,2.4722586533004236,135.30769230769232,134.30769230769232,138.0,130.53846153846155
LU000014,-0.026391251714202535,0.02895572768996657,0.7688949623194825,0.795286214033685,0.7399392346295159,,,,0.5910754818827649,0.5902055020610294,0.6352676363392606,0.5463816670173672,0.806441904065329,0.7102088077291905,0.7161773490358406,0.7293844249597089,1.7501577598896076,2.033721132757922,1.7246063138340748,2.5765879986591753,134.30769230769232,134.0,138.6153846153846,130.07692307692307
DERP2006,0.02845327518660168,-0.0259633005734623,0.8053937963413534,0.7769405211547518,0.8313570969148157,0.8006982688106048,0.7416983992512765,0.8026243095825837,0.43962157636394383,0.5679134693440071,0.6009302722425844,0.5293126122868534,1.4772328390901432,1.2853852034780417,1.2786769238388105,1.2509028921903702,4.017057443002232,3.0691634227835274,2.76235835696866,2.656042817937202,122.23076923076923,130.69230769230768,133.53846153846155,132.15384615384616
FR000124,-0.016010056217665825,0.031830232271007786,0.7818348060924234,0.7978448623100892,0.7500045738214156,,,,0.4742586446981948,0.5321053954329955,0.5119271334611232,0.5601817933169401,3.9161042905995633,3.3047756779394017,3.2817292115141488,3.231284609027818,3.0970781483971495,2.8953469377861962,2.775543961320551,2.9606721863174723,118.71428571428571,125.19047619047619,125.95238095238095,125.95238095238095
BEWA0067,0.009129581293288336,0.15459497177601467,0.8100780787944755,0.8009484975011871,0.6554831070184608,,,,0.44687806121952867,0.5621770492508747,0.5776418518834718,0.6968990273025417,1.5219266002304095,1.4466383236893932,1.4404273498039297,1.358271241979926,3.527883532917868,3.1893307279404697,3.0282635362210923,1.356128119065519,123.4375,129.8125,131.875,146.4375
