,gauge_name,basin,nse,bfi_obs,bfi_sim,nse_value_bfi,qmean_obs,qmean_sim,slope_obs,slope_sim,hfd_obs,hfd_sim
0,Schoenfels,LU000018,0.7068091955217396,0.5491332552226622,0.6425865407688293,,0.8958442072655957,0.8074418668704171,2.305894875074405,1.812749234310106,127.38461538461539,133.30769230769232
1,Hunnebuer,LU000010,0.8024434424155877,0.6187599923498417,0.6376546471424162,,0.9264638449166221,0.9121715945306944,1.430666764097312,1.8234258781144,130.6153846153846,131.84615384615384
2,Bigonville,LU000001,0.8182975941633511,0.5468503966298911,0.6346640119300806,,1.192096235012109,1.2174679441570093,3.860265270934023,1.6760303405490462,121.61538461538461,134.76923076923077
3,Eisenschmitt,DERP2028,0.8649751242229604,0.5912286564625354,0.6398364078708426,0.8645179721677549,1.076659242459983,1.0018854780187039,2.249832566632805,1.8877731737649006,131.46153846153845,136.1153846153846
4,A9001050,FR000183,0.3723873844497293,0.7263461280996635,0.6325414485924556,,1.3587597394179618,1.1535837975961212,2.2048638196473735,1.9607389851242063,147.25,135.45833333333334
5,Sinspelt,DERP2008,0.7520798704793424,0.4632010969159292,0.6428716130512556,0.4920070895219515,1.0472986121931485,1.0311721914616672,3.555971392328444,1.9140071266062937,120.88461538461539,135.6153846153846
6,A5242010,FR000137,0.7744976653333664,0.5079481042588097,0.6335812003117268,,0.9956666274344927,1.010652796936394,2.9663314793754534,2.0983345659939996,124.30434782608695,132.69565217391303
7,L'Isch Ã  Postroff,FR003294,0.685425301747073,0.5169186781536074,0.6371287452957468,,0.9148306708232089,0.8055355222503241,2.5154940473730383,2.0645597023770255,129.0952380952381,135.66666666666666
8,A9021050,FR000185,0.36883351114372964,0.5417133374177967,0.6245125674797175,,0.7993524710435663,1.2088444811812438,3.2063018307440525,2.0139604061343257,145.27777777777777,142.0
9,A6872010,FR000154,0.7815172350883808,0.5431762661877202,0.6483990551021381,,0.8637251282104524,0.7258465670794501,1.9657436908760961,2.075461112234675,130.75,134.91666666666666
