,gauge_name,basin,nse,bfi_obs,bfi_sim,nse_value_bfi,qmean_obs,qmean_sim,slope_obs,slope_sim,hfd_obs,hfd_sim
0,Schoenfels,LU000018,0.5970520247780624,0.5491332552226622,0.748729465784751,,0.8958442072655957,0.8501292243369752,2.305894875074405,1.3336176339564214,127.38461538461539,144.76923076923077
1,Hunnebuer,LU000010,0.7435043623814801,0.6187599923498417,0.7266384356956708,,0.9264638449166221,0.9541365589329094,1.430666764097312,1.4451157961872076,130.6153846153846,141.15384615384616
2,Bigonville,LU000001,0.8028501850871915,0.5468503966298911,0.6746503037540617,,1.192096235012109,1.2636976977416665,3.860265270934023,2.0559233631787674,121.61538461538461,141.76923076923077
3,Eisenschmitt,DERP2028,0.6542792769373749,0.5912286564625354,0.7930690139462142,0.3647865407032176,1.076659242459983,1.025214946208398,2.249832566632805,1.2812951488007827,131.46153846153845,155.23076923076923
4,A9001050,FR000183,0.4656484092332125,0.7263461280996635,0.6915413908078086,,1.3587597394179618,1.182803996189622,2.2048638196473735,1.6257080711601084,147.25,141.29166666666666
5,Sinspelt,DERP2008,0.6833504504633667,0.4632010969159292,0.6908163133692117,0.3370894263248493,1.0472986121931485,1.071387582828213,3.555971392328444,2.0431042381085005,120.88461538461539,142.46153846153845
6,A5242010,FR000137,0.7878928794182776,0.5079481042588097,0.5424807020308382,,0.9956666274344927,1.0463622595971331,2.9663314793754534,3.197105211191213,124.30434782608695,124.56521739130434
7,L'Isch Ã  Postroff,FR003294,0.6540415361247365,0.5169186781536074,0.5237458895770647,,0.9148306708232089,0.8326294644245363,2.5154940473730383,3.5822660817012637,129.0952380952381,125.85714285714286
8,A9021050,FR000185,0.23966889126149016,0.5417133374177967,0.7249228594322091,,0.7993524710435663,1.2233991434081182,3.2063018307440525,1.397672622009753,145.27777777777777,151.38888888888889
9,A6872010,FR000154,0.7469233823085738,0.5431762661877202,0.5570158328368338,,0.8637251282104524,0.7566006346268309,1.9657436908760961,3.3793174462269184,130.75,126.79166666666667
10,La Nied Allemande Ã  Varize,FR003307,0.860818888248845,0.48802860347278665,0.5689507206819351,,0.7842232990660046,0.7143197564840602,3.3929812296089343,3.133407651248315,122.36,127.48
11,La Vezouze Ã  ThiÃ©baumÃ©nil,FR003256,0.7939614974367675,0.5234492103005389,0.6438268335687908,,0.9943526845625006,0.9592005821669044,2.3787419853905885,2.0361357949156056,128.3125,133.375
12,GemuendOur,DERP2004,0.7474419435578393,0.5001961046867561,0.6870451941377339,0.35980276113296317,1.2123051432798406,1.3525504478262533,3.0978596160693375,2.023534938399294,125.73076923076923,142.53846153846155
13,La Meurthe Ã  Azerailles et Ã  Baccarat,FR003252,0.7924010035927618,0.6693441995521313,0.6312268120337011,,1.683498334877289,1.7744120304170676,2.0874403893284983,2.133644219717737,149.33333333333334,140.16666666666666
14,La Sarre Ã  Sarreguemines et Ã  Sarreinsming,FR003302,0.8575599735673125,0.5461876410176256,0.5957689802344159,,0.8495899649369768,0.9332671382981836,2.4046815359867963,2.6411440092259753,131.33333333333334,130.54166666666666
15,La Moselle Ã  Toul,FR003249,0.9016767318562248,0.5796744249010707,0.6275626273234888,,1.57132401475247,1.6469629640037136,2.7292696550983586,2.170454256448868,128.30769230769232,132.3846153846154
16,A6232010,FR000144,0.16924407275026987,0.6872353910753508,0.750015617815366,,1.444598096445125,1.2976375133143325,2.1998091011604126,1.394952192474956,173.23809523809524,149.42857142857142
17,Diekirch,LU000006,0.8767608245807639,0.572308467363715,0.6528788300760845,,0.9586417313463302,0.935129041473736,2.4141306296435143,2.102279872267589,127.46153846153847,137.3846153846154
18,EttelbrueckAlzette,LU000007,0.8150139703690443,0.5820376371289808,0.6219809536786797,,0.8377600275319108,0.8316876881636699,2.179298871547911,2.196666490058337,135.30769230769232,132.30769230769232
19,Mersch,LU000014,0.7580837181919449,0.5910754818827649,0.6172914820992118,,0.806441904065329,0.8129884609288487,1.7501577598896076,2.183115873495775,134.30769230769232,132.07692307692307
20,Pruem,DERP2006,0.6796630533875221,0.43962157636394383,0.6937298513338226,0.3320630255466883,1.4772328390901432,1.3888553590448962,4.017057443002232,1.9063627930169704,122.23076923076923,143.65384615384616
21,A4020610,FR000124,0.7878151511540857,0.4742586446981948,0.5705086968992651,,3.9161042905995633,3.4482203534377236,3.0970781483971495,2.0949349718977732,118.71428571428571,130.57142857142858
22,Schoenberg,BEWA0067,0.6856383428344552,0.44687806121952867,0.6885918808845028,,1.5219266002304095,1.5520293996966283,3.527883532917868,1.860864806082523,123.4375,144.5625
24,A7642010,FR000169,0.71023952558664,0.5816472690192767,0.569772151183788,,0.7066709652720817,0.7061287853558189,1.8911673540319904,3.0333927054101326,132.52631578947367,131.73684210526315
25,Dreis,DERP2029,0.6615323590105207,0.5770721236525367,0.7799935052543866,0.029947036334764476,0.8128997419966302,0.9271456731249269,2.202408139605328,1.3720694758526213,132.07692307692307,153.42307692307693
26,A6701210,FR000153,0.6599855254846956,0.6421192150887213,0.7199214772409052,,1.0716031926027136,1.3417925892105682,2.2348418963151917,1.4809071371209765,133.83333333333334,139.5
27,A6051020,FR000142,0.8311973057719404,0.6181879444170277,0.5978505142234838,0.8678720538963274,1.701081378030953,1.7524948910711893,2.1363079945665095,2.3001470971042215,134.65384615384616,132.5
28,Densborn,DERP2023,0.8152826113679587,0.5475464240473255,0.6838553482765243,0.707396833195167,1.2046407986235061,1.1494939020395873,2.2375005419180587,1.9569235940917855,128.80769230769232,143.03846153846155
29,A4200630,FR000128,0.844148157853798,0.5262351104042112,0.6347606123655875,,3.177223275885115,2.7905958502067656,2.878325804251507,1.9460314600740818,127.44,135.28
30,Le Madon Ã  Pulligny,FR003246,0.8091681368686579,0.4707725058083362,0.5793224775362265,,0.9209072206799293,0.9179212662887756,2.979323882652053,2.9409774312078216,120.84,127.56
31,La Moselle Ã  Saint-Mard et Ã  Tonnoy et Ã  Velle-sur-Moselle,FR003241,0.8727208535047736,0.5720068735304338,0.636014306170695,,1.9660347551444997,2.1303100664782244,2.6656768746543382,1.966359633813721,127.5,132.63636363636363
32,La Moselle Ã  Custines,FR003265,0.9175714520327566,0.6045800876045967,0.6381160113916874,0.9079441159602912,1.3650431518522423,1.3650118511646623,2.506784709873493,2.1639317465869894,132.30769230769232,133.3846153846154
33,Heiderscheidergrund,LU000008,0.6355931704304737,0.5007259510922724,0.6757268481631676,,1.1407084448892786,1.2012462421739967,4.088001988594442,2.0749142864211394,119.61538461538461,142.07692307692307
34,Dasbourg,LU000005,0.7573116704870739,0.5131519601965012,0.6880203562298185,,1.216878753629151,1.3054890069456944,3.044633207499545,1.9055954304696623,124.53846153846153,142.69230769230768
35,Reuland,BEWA0106,0.7082076324975692,0.4968046967832148,0.6835612768816438,,1.157128320430866,1.1342838088828415,4.0636305642567105,2.1084836500555206,127.0,144.56521739130434
36,Le Woigot Ã  Briey,FR003280,0.46699781620243486,0.6641526137715094,0.5032537861307257,,1.2547971041714252,1.0218868321156858,3.012885676799598,3.554110217135254,139.57692307692307,125.42307692307692
37,Hentern,DERP2017,0.875356058622817,0.6040660981781378,0.6708358728619975,0.8726647613417643,1.323952539769067,1.2211012683760762,2.6920265731938446,2.1324621602938234,133.5,139.30769230769232
38,DhronTalsperre,DERP2031,0.8415640945195707,0.589492155815281,0.6692964093550842,0.7330284440576834,1.1105974049514904,1.219750532724145,3.0308423381768783,2.1191412455506327,133.8846153846154,139.3846153846154
39,A4050620,FR000125,0.8281339610198463,0.5023047759426577,0.6037183397708097,,3.519459023368721,3.1795749943915186,2.7963068203600563,1.9924150943110743,125.91304347826087,133.69565217391303
40,Kasel,DERP2018,0.8318591849044297,0.5762481641776137,0.671325512409677,0.641201221737823,1.024572454928391,1.2036961223395504,2.8786026835903322,2.139159370882302,132.46153846153845,139.42307692307693
41,Gerolstein,DERP2022,0.823667720605468,0.560257812862486,0.680153837087756,0.7772023422860005,1.3282642136993508,1.209990589096633,2.16063169738943,1.9782531250930622,129.8846153846154,142.96153846153845
42,Platten,DERP2033,0.7433475881172197,0.513752790574686,0.7168702407386152,0.4833113431368693,0.8456727379502524,0.848432216293803,2.638083649959376,1.8684056395629922,127.96153846153847,147.19230769230768
43,La Mortagne Ã  GerbÃ©viller,FR003261,0.6883933349561351,0.6059598129957963,0.6998581986892107,0.24048950616775655,0.9507015985441356,1.232422409042858,2.220164395451184,1.667029939109283,133.46153846153845,139.34615384615384
44,La Sarre Ã  Diedendorf,FR003295,0.7440966705188441,0.5769152417053487,0.6380028444629208,,0.874862179138891,1.0549587196407257,1.8349622379426132,2.136617798754633,134.52,134.4
45,La Meurthe Ã  LunÃ©ville,FR003253,0.7828331482441051,0.6512894124251375,0.6515644518564956,,1.4149041810573662,1.5288228489979483,2.3023088777028162,1.9414503351338332,140.89473684210526,137.68421052631578
