,0
high_snow_k,3.0878457538861293
high_unsaturated_Smax,167.9959863444206
high_unsaturated_Ce,0.8483387830244506
high_unsaturated_beta,0.9288162438606189
high_slowhigh_k,0.000549435431335558
general_snow_k,3.0878457538861293
general_unsaturated_Smax,167.9959863444206
general_unsaturated_Ce,0.8483387830244506
general_unsaturated_beta,0.9288162438606189
general_lowersplitter_splitpar,0.23072596577148474
general_slow_k,0.0072169033801427855
general_lag-fun_lag-time,2.093792822091882
general_fast_k,0.020565741948570644
low_snow_k,3.0878457538861293
low_unsaturated_Smax,167.9959863444206
low_unsaturated_Ce,0.8483387830244506
low_unsaturated_beta,0.9288162438606189
low_fast_k,0.00396081059612955
