basin_id,lit_fra_Alluvium,lit_fra_Carbonate rocks,lit_fra_Granitoids,lit_fra_Impermeable,lit_fra_Inland water,lit_fra_Limestones,"lit_fra_Limestones, sandstones and gravels","lit_fra_Limestones, sandstones and marls",lit_fra_Magmatic rocks,lit_fra_Massif,lit_fra_Molasses and clays,lit_fra_Plutonic rocks,"lit_fra_Sand, gravel and pebbles",lit_fra_Sands and clays,"lit_fra_Schists, gneisses, granites",lit_fra_Sedimentary rocks,lit_fra_Sediments mesosoics,lit_fra_Shales,lit_dom,tot_area
FR004122,0.0,1.634,60.824,0.0,0.0,0.001,0.0,0.0,0.0,0.575,0.0,0.0,0.0,0.0,6.462,0.0,0.0,30.503,Granitoids,134.691
FR004123,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Granitoids,99.68
FR004124,0.0,0.0,92.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.857,Granitoids,108.3
FR004125,0.0,0.0,46.468,0.0,0.0,0.0,0.0,0.0,0.0,23.908,0.0,0.0,0.0,0.0,0.0,0.0,5.959,23.664,Granitoids,130.697
FR004126,0.101,1.453,58.322,0.0,0.0,0.0,0.0,0.0,0.0,10.279,0.0,0.0,0.0,0.0,2.048,0.0,5.507,22.29,Granitoids,126.126
FR004127,1.472,0.0,0.0,0.0,0.0,1.228,0.0,0.0,0.0,74.126,0.0,0.0,0.0,0.0,0.0,0.0,23.174,0.0,Massif,100.0
FR004128,1.23,1.212,48.625,0.0,0.0,0.834,0.0,0.0,0.0,18.653,0.0,0.0,0.0,0.0,1.708,0.0,9.155,18.583,Granitoids,120.875
FR004129,0.512,0.0,0.0,0.0,0.0,1.784,0.0,0.0,0.0,97.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Massif,100.0
FR004130,5.414,0.947,37.999,0.071,0.0,3.763,0.0,0.0,0.0,19.969,8.52,0.0,0.306,0.0,1.335,0.0,7.154,14.523,Granitoids,115.602
FR004131,0.0,68.704,0.116,0.0,0.0,0.27,0.0,0.0,0.0,19.809,0.0,0.0,0.0,0.0,0.0,0.0,7.714,3.386,Carbonate rocks,103.505
FR004132,0.486,55.418,0.089,0.0,0.0,17.589,0.0,0.0,0.0,15.203,0.0,0.0,0.0,0.0,0.0,0.0,8.615,2.599,Carbonate rocks,102.668
FR004133,0.0,27.171,0.0,0.0,0.0,54.659,0.0,4.713,0.0,0.0,13.429,0.0,0.0,0.0,0.0,0.028,0.0,0.0,Limestones,99.998
FR004134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.725,0.0,0.0,0.0,0.0,0.0,0.0,5.275,0.0,Massif,100.0
FR004135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.275,0.0,0.0,0.0,0.0,0.0,0.0,0.725,0.0,Massif,100.0
FR004136,0.0,0.0,0.0,0.0,0.0,19.786,0.0,0.0,0.0,55.133,0.0,0.0,0.0,0.0,0.0,0.0,25.081,0.0,Massif,100.0
FR004137,0.0,0.0,0.0,0.0,0.0,36.274,0.0,0.0,0.0,40.19,5.253,0.0,0.0,0.0,0.0,0.0,18.283,0.0,Massif,100.0
FR004138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.548,0.0,0.0,0.0,0.0,0.452,0.0,0.0,Molasses and clays,100.0
FR004139,2.843,19.48,0.026,0.0,0.0,22.585,0.0,0.5,0.0,10.09,38.28,0.0,0.302,0.0,0.0,0.05,5.086,0.758,Molasses and clays,100.76
FR004140,0.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.833,0.0,0.0,0.0,0.0,0.051,0.0,0.0,Molasses and clays,100.0
FR004141,8.95,10.07,0.013,0.0,0.0,15.724,0.0,0.258,0.0,5.708,52.847,0.0,2.017,0.0,0.0,0.033,3.988,0.392,Molasses and clays,100.392
FR004142,14.427,9.418,0.013,0.0,0.0,14.706,0.0,0.242,0.0,5.338,49.755,0.0,1.976,0.0,0.0,0.031,3.729,0.367,Molasses and clays,100.366
FR004143,10.482,4.086,21.655,0.04,0.0,7.681,0.0,0.091,0.0,13.388,26.182,0.0,1.729,0.0,0.76,0.012,5.481,8.413,Molasses and clays,108.492
FR004144,10.482,4.086,21.655,0.04,0.0,7.681,0.0,0.091,0.0,13.388,26.182,0.0,1.729,0.0,0.76,0.012,5.481,8.413,Molasses and clays,108.492
FR004145,10.449,4.091,21.684,0.04,0.0,7.691,0.0,0.091,0.0,13.406,26.132,0.0,1.731,0.0,0.761,0.012,5.488,8.424,Molasses and clays,108.504
FR004146,0.0,0.0,0.0,65.172,0.0,34.828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Impermeable,100.0
FR004147,0.0,0.0,0.0,12.44,0.0,40.218,0.0,0.0,0.0,0.797,46.546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Molasses and clays,100.0
FR004148,0.0,0.0,0.0,11.145,0.0,36.034,0.0,0.0,0.0,0.714,52.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Molasses and clays,100.0
FR004149,0.0,0.0,0.0,5.62,0.0,18.171,0.0,0.0,0.0,0.36,75.849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Molasses and clays,100.0
FR004150,0.0,0.0,0.0,5.537,0.0,17.901,0.0,0.0,0.0,0.355,76.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Molasses and clays,100.0
FR004151,0.0,0.0,0.0,5.62,0.0,18.171,0.0,0.0,0.0,0.36,75.849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Molasses and clays,100.0
