basin_id,lit_fra_Alluvium,"lit_fra_Faluns, sands, and clayey-sandy",lit_fra_Holocene deposits,lit_fra_Limestones,lit_fra_Massif basement,lit_fra_Sands,lit_fra_Sandy clays,lit_dom,tot_area
FR000862,0.0,0.0,0.0,0.0,99.145,0.855,0.0,Massif basement,100.0
FR000863,1.436,0.0,0.0,0.005,98.413,0.14,0.005,Massif basement,100.0
FR000864,1.04,0.035,0.0,0.009,97.577,1.131,0.209,Massif basement,100.0
FR000865,0.0,0.0,0.0,0.0,68.649,21.581,9.77,Massif basement,100.0
FR000866,0.0,0.0,0.0,0.0,90.469,9.531,0.0,Massif basement,100.0
FR000867,1.046,0.02,0.006,0.006,96.369,2.335,0.217,Massif basement,100.0
FR003765,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Massif basement,100.0
FR003766,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Massif basement,100.0
FR003767,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Massif basement,100.0
FR003768,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Massif basement,100.0
FR003769,0.0,0.049,0.0,0.0,98.545,0.996,0.41,Massif basement,100.0
FR003770,2.37,0.0,0.0,0.0,96.169,0.503,0.957,Massif basement,100.0
FR003771,0.742,0.042,0.0,0.003,98.208,0.759,0.245,Massif basement,100.0
FR003772,0.742,0.042,0.0,0.003,98.208,0.759,0.245,Massif basement,100.0
FR003773,0.0,0.0,0.0,0.0,94.512,5.488,0.0,Massif basement,100.0
FR003774,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Massif basement,100.0
FR003775,0.0,0.0,0.0,0.048,99.952,0.0,0.0,Massif basement,100.0
FR003776,0.0,0.0,0.0,0.03,99.599,0.34,0.031,Massif basement,100.0
FR003777,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Massif basement,100.0
FR003778,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Massif basement,100.0
FR003779,0.0,0.0,0.0,0.0,71.201,27.006,1.793,Massif basement,100.0
