,gauge_id,gauge_name,gauge_country,gauge_provider,river,lon_snap,lat_snap,lon,lat,elevation,area_official,area_estreams,area_flag,area_rel,start_date,end_date,num_years,num_months,num_days,num_continuous_days,num_days_gaps,num_days_reliable,num_days_noflag,num_days_suspect,gauge_flag,duplicated_suspect,watershed_group,gauges_upstream,nested_catchments,q_mean,q_runoff_ratio,q_elas_Sankarasubramanian,slope_sawicz,baseflow_index,hfd_mean,hfd_std,q_5,q_95,hq_freq,hq_dur,lq_freq,lq_dur,zero_q_freq,p_mean,pet_mean,aridity,p_seasonality,frac_snow,hp_freq,hp_dur,hp_time,lp_freq,lp_dur,lp_time,ele_mt_max,ele_mt_mean,ele_mt_min,slp_dg_mean,flat_area_fra,steep_area_fra,elon_ratio,strm_dens,lit_dom,bedrk_dep,perm_verylow_glob,perm_low_glob,perm_medium_glob,perm_high_glob,lit_fra_su,lit_fra_ss,lit_fra_sm,lit_fra_sc,lit_fra_mt,lit_fra_pi,lit_fra_py,lit_fra_vi,lit_fra_ev,lit_fra_ig,lit_fra_pa,lit_fra_pb,lit_fra_va,lit_fra_vb,perm_high_cont,perm_medium_cont,perm_low_cont,perm_verylow_cont,lit_fra_Conglomerates,lit_fra_Conglomerates and sands,lit_fra_Gravels,lit_fra_Sands,lit_fra_Sandstones,lit_fra_Sandstones and sands,root_dep_mean,root_dep_max,root_dep_min,soil_tawc_mean,soil_fra_sand_mean,soil_fra_silt_mean,soil_fra_clay_mean,soil_fra_grav_mean,soil_bd_mean,soil_oc_mean,lai_mean,ndvi_mean,lulc_2006_urban,lulc_2006_NonIrriAgri,lulc_2006_Agric,lulc_2006_forest,lulc_2006_grass,lulc_2006_agriculture,dam_num,res_num,lakes_num,lakes_tot_area,lakes_tot_vol,sno_cov_mean,irri_1990,irri_2005,stations_num_p_mean,perm_high_glob2,perm_medium_glob2,perm_low_glob2,perm_high_cont2,perm_medium_cont2,perm_low_cont2,lakes_depth_mean,lakes_depth_mean_norm,q_mean_yr,p_mean_yr,norm_ups_cap,KGE,KGElstm,basin_id,group
10,O005002001,La Garonne Ã  Chaum et Ã  Fronsac,FR,FR_EAUFRANCE,La Garonne à Chaum et à Fronsac,0.647726,42.9389,0.647726,42.9389,465,1037.0,1029.208,0,0.7513982642237141,1989-01-01,2023-09-30,35,417,12651,6725,40.0,6012.0,3174.0,3465.0,C,,541,12,"['ES000333', 'ES000453', 'ES000507', 'FR004084', 'FR004085', 'FR001495', 'FR001496', 'FR001497', 'FR001498', 'FR001499', 'FR001500', 'FR001501', 'FR004086']",2.673,0.876,0.758,1.64,0.755,205.906,19.649,1.024,6.33,0.087,1.5,0.145,5.0,0.0,3.063,2.02,0.659,-0.116,0.223,14.588,1.202,1.0,220.892,4.001,4.0,3191.122,1630.654,467.364,25.579,1.807,84.212,0.605,0.148,9,0.66,4.442,38.973,44.113,12.183,0.656,11.527,39.059,5.054,38.804,0.169,0.0,0.0,0.0,0.0,2.779,1.663,0.0,0.0,0.107,4.369,0.0,95.523,0.0,0.0,0.107,0.0,0.0,0.0,61.496,150.0,0.0,48.692,47.77,32.52,19.613,12.132,1.431,1.871,0.139,0.482,0.009,0.001,0.044,0.449,0.49,0.045,11.0,7.0,5.0,1.03,8.75,21.069,0.014,1.16,8.0,12.0,84.0,4.0,0.107,4.369,95.523,8.495145631067961,8.501682847393335,975.645,1117.9950000000001,0.0076044014932028624,0.6818719031398621,0.8779197602058652,FR004086,Group_1
11,O050252002,O0502520,FR,FR_EAUFRANCE,Le Salat à Saint-Lizier [Saint Girons],1.140881,42.991501,1.140881,42.991501,382,1154.0,1154.008,0,-0.0006932409012164,1974-01-01,2023-09-30,50,597,18149,8350,21.0,15494.0,0.0,2655.0,C,,541,28,"['FR004094', 'FR004095', 'FR004096', 'FR004097', 'FR004098', 'FR004099', 'FR004100', 'FR004101', 'FR004102', 'FR004103', 'FR004104', 'FR004105', 'FR004106', 'FR004107', 'FR004108', 'FR001530', 'FR001531', 'FR001532', 'FR001533', 'FR001534', 'FR001535', 'FR001536', 'FR001537', 'FR001538', 'FR001539', 'FR001540', 'FR001541', 'FR001542']",2.671,0.939,0.645,2.319,0.686,189.447,24.28,0.595,6.551,0.465,1.211,12.137,3.0,0.0,2.798,2.182,0.78,-0.092,0.103,15.96,1.196,1.0,227.104,4.063,4.0,2840.424,1160.391,383.431,23.164,2.076,76.763,0.622,0.151,2,0.714,12.888,31.086,37.712,18.308,0.31,17.998,16.795,20.917,31.042,0.044,0.0,0.0,0.0,0.0,11.098,1.347,0.0,0.443,0.0,16.072,6.658,77.271,0.0,0.0,0.0,0.0,0.0,0.0,50.847,150.0,30.0,48.487,52.494,29.961,17.545,12.079,1.464,1.481,0.2,0.605,0.007,0.002,0.161,0.523,0.307,0.163,2.0,1.0,2.0,0.38,3.9,10.536,0.0,0.0,2.0,18.0,69.0,13.0,0.0,22.73,77.271,10.263157894736842,3.3795259651579537,974.915,1021.27,0.0033091405457498545,0.6322448951521674,0.906555881611341,FR001542,Group_1
12,O059251001,O0592510,FR,FR_EAUFRANCE,Le Salat à Roquefort-sur-Garonne,0.973925,43.154443,0.973925,43.154443,270,1570.0,1571.908,0,-0.1215286624203759,1913-01-01,2023-09-30,111,1329,40450,40450,0.0,37672.0,0.0,2778.0,C,,541,33,"['FR004094', 'FR004095', 'FR004096', 'FR004097', 'FR004098', 'FR004099', 'FR004100', 'FR004101', 'FR004102', 'FR004103', 'FR004104', 'FR004105', 'FR004106', 'FR004107', 'FR004108', 'FR004109', 'FR004110', 'FR001530', 'FR001531', 'FR001532', 'FR001533', 'FR001534', 'FR001535', 'FR001536', 'FR001537', 'FR001538', 'FR001539', 'FR001540', 'FR001541', 'FR001542', 'FR001543', 'FR001544', 'FR001545']",2.316,0.861,0.796,2.162,0.666,183.472,29.027,0.536,5.771,1.333,1.361,8.286,3.582,0.0,2.689,2.269,0.844,-0.087,0.067,16.396,1.203,3.0,227.703,4.079,4.0,2840.424,981.246,262.782,19.641,6.072,62.077,0.646,0.157,2,0.832,9.624,28.644,42.795,18.932,4.232,14.7,15.694,27.101,28.612,0.032,0.0,0.0,0.0,0.0,8.147,1.152,0.0,0.325,0.2,30.483,12.581,56.734,0.0,0.0,0.2,0.0,0.0,0.0,59.314,150.0,30.0,50.309,48.799,32.186,19.015,11.414,1.447,1.36,0.208,0.636,0.0099999999999999,0.009,0.241,0.509,0.229,0.25,2.0,1.0,2.0,0.38,3.9,7.961,1.172,1.703,3.0,19.0,71.00000000000001,10.0,0.2,43.064,56.734,10.263157894736842,2.4810612325912205,845.3399999999999,981.485,0.002527864646521567,0.6675213529031785,0.8863001256723373,FR001545,Group_1
13,O200001001,O1900010,FR,FR_EAUFRANCE,La Garonne à Portet-sur-Garonne,1.41513,43.526473,1.41513,43.526473,147,9980.0,9943.879,0,0.3619338677354627,1910-01-02,2023-09-30,114,1365,41545,41545,0.0,40806.0,0.0,739.0,A,['FR001585'],541,155,"['ES000333', 'ES000453', 'ES000507', 'FR004084', 'FR004085', 'FR004086', 'FR004087', 'FR004088', 'FR004089', 'FR004090', 'FR004091', 'FR004092', 'FR004093', 'FR004094', 'FR004095', 'FR004096', 'FR004097', 'FR004098', 'FR004099', 'FR004100', 'FR004101', 'FR004102', 'FR004103', 'FR004104', 'FR004105', 'FR004106', 'FR004107', 'FR004108', 'FR004109', 'FR004110', 'FR004111', 'FR004112', 'FR004113', 'FR004114', 'FR004115', 'FR004116', 'FR004117', 'FR004118', 'FR004119', 'FR004120', 'FR004121', 'FR004122', 'FR004123', 'FR004124', 'FR004125', 'FR004126', 'FR004127', 'FR004128', 'FR004129', 'FR004130', 'FR004131', 'FR004132', 'FR004133', 'FR004134', 'FR004135', 'FR004136', 'FR004137', 'FR004138', 'FR004139', 'FR004140', 'FR004141', 'FR004142', 'FR004143', 'FR004144', 'FR004145', 'FR004146', 'FR004147', 'FR004148', 'FR004149', 'FR004150', 'FR004151', 'FR004152', 'FR001495', 'FR001496', 'FR001497', 'FR001498', 'FR001499', 'FR001500', 'FR001501', 'FR001502', 'FR001503', 'FR001504', 'FR001505', 'FR001506', 'FR001507', 'FR001508', 'FR001509', 'FR001510', 'FR001511', 'FR001512', 'FR001513', 'FR001514', 'FR001515', 'FR001516', 'FR001517', 'FR001518', 'FR001519', 'FR001520', 'FR001522', 'FR001523', 'FR001524', 'FR001525', 'FR001526', 'FR001527', 'FR001528', 'FR001529', 'FR001530', 'FR001531', 'FR001532', 'FR001533', 'FR001534', 'FR001535', 'FR001536', 'FR001537', 'FR001538', 'FR001539', 'FR001540', 'FR001541', 'FR001542', 'FR001543', 'FR001544', 'FR001545', 'FR001546', 'FR001547', 'FR001548', 'FR001549', 'FR001550', 'FR001551', 'FR001552', 'FR001553', 'FR001554', 'FR001555', 'FR001556', 'FR001557', 'FR001558', 'FR001559', 'FR001560', 'FR001561', 'FR001562', 'FR001563', 'FR001564', 'FR001565', 'FR001566', 'FR001567', 'FR001568', 'FR001569', 'FR001570', 'FR001571', 'FR001572', 'FR001573', 'FR001574', 'FR001575', 'FR001576', 'FR001577', 'FR001578', 'FR001579', 'FR001580', 'FR001581', 'FR001584', 'FR001585', 'FR001587']",1.534,0.606,0.918,2.139,0.71,185.486,26.333,0.403,3.771,0.83,1.452,2.463,3.352,0.0,2.53,2.312,0.914,-0.1,0.044,15.838,1.216,3.0,224.614,4.015,4.0,3191.122,896.438,138.643,15.183,18.01,44.057,0.605,0.181,9,4.786,4.198,21.143,49.849,24.777,16.294,8.483,33.105,16.744,21.003,0.14,0.0,0.0,0.0,0.0,3.536,0.611,0.0,0.051,12.982,41.229,10.215,35.574,0.0,0.0,12.982,0.0,0.0,0.0,80.635,150.0,0.0,51.55,43.171,33.678,23.141,10.916,1.413,1.32,0.163,0.581,0.019,0.128,0.256,0.367,0.2219999999999999,0.384,37.0,29.0,46.0,16.99,238.38,8.129,426.764,464.46,29.0,25.0,71.0,4.0,12.982,51.444,35.574,14.030606238964097,23.972536270805385,559.91,923.4499999999999,0.02595975555883414,0.7797870405005336,0.9023065910218176,FR001584,Group_1
0,O149431003,Le Touyre Ã  Lavelanet et Ã  Saint-Quentin-la-Tour,FR,FR_EAUFRANCE,Le Touyre à Lavelanet et à Saint-Quentin-la-Tour,1.850824,42.940862,1.850824,42.940862,442,68.0,68.443,0,-0.6514705882352909,1969-01-01,2023-09-30,55,657,19919,9932,77.0,19433.0,0.0,486.0,A,,541,4,"['FR004134', 'FR004135', 'FR004136', 'FR001570']",2.32,0.932,0.797,2.685,0.625,180.154,29.834,0.313,6.918,2.376,1.654,41.081,6.657,0.0,2.435,2.259,0.928,-0.118,0.051,18.26,1.248,3.0,241.663,4.383,4.0,2327.901,1097.04,505.403,17.331,6.567,60.688,0.564,0.177,2,0.827,0.0,43.981,33.071,22.949,6.607,16.342,24.036,9.035,43.981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.985,7.878,47.137,0.0,0.0,0.0,0.0,0.0,0.0,64.0,130.0,30.0,47.981,52.943,29.786,17.271,10.886,1.465,1.199,0.198,0.635,0.06,0.0,0.16,0.612,0.169,0.16,0.0,0.0,0.0,0.0,0.0,8.588,0.0,0.0,1.0,23.0,77.0,0.0,0.0,52.863,47.137,,0.0,846.8,888.775,0.0,0.6959145259056246,0.8355448954215626,FR004136,Group_2
1,O055401001,O0554010,FR,FR_EAUFRANCE,L'Arbas à Castelbiague [Pont de Prades],0.928657,43.046218,0.928657,43.046218,332,98.0,91.751,0,6.376530612244894,1968-10-02,2023-09-30,56,660,20035,19571,52.0,19166.0,0.0,869.0,A,,541,2,"['FR004109', 'FR001544']",1.673,0.637,1.175,2.616,0.539,162.135,31.978,0.258,5.245,7.564,1.553,39.78,9.611,0.0,2.599,2.366,0.91,-0.087,0.038,16.477,1.213,3.0,227.717,4.107,4.0,1566.539,671.291,334.678,16.25,7.528,52.748,0.856,0.08,8,0.791,0.0,11.821,76.062,12.117,12.117,0.0,0.0,76.062,11.821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.318,63.681,0.001,0.0,0.0,0.0,0.0,0.0,0.0,54.719,130.0,30.0,52.964,46.551,32.528,20.921,12.966,1.434,1.187,0.24,0.733,0.003,0.01,0.3,0.672,0.016,0.31,0.0,0.0,0.0,0.0,0.0,1.906,0.0,0.195,0.0,12.0,88.0,0.0,0.0,99.999,0.001,,0.0,610.645,948.6350000000001,0.0,0.6780818852621766,0.8676263177373599,FR001544,Group_2
2,O149433001,Le Touyre Ã  LÃ©ran,FR,FR_EAUFRANCE,Le Touyre à Léran,1.912079,42.989258,1.912079,42.989258,383,90.3,93.89,0,-3.975636766334445,1978-09-19,2023-09-30,46,541,16439,12764,9.0,15078.0,1.0,1360.0,C,,541,5,"['FR004134', 'FR004135', 'FR004136', 'FR004137', 'FR001570']",1.792,0.725,0.793,2.851,0.599,169.07,32.488,0.211,5.08,3.754,1.714,47.659,6.464,0.0,2.431,2.258,0.929,-0.119,0.051,18.301,1.248,1.0,241.976,4.39,4.0,2327.901,940.039,388.339,14.722,12.028,47.68,0.489,0.233,2,0.86,0.0,32.06,45.156,22.784,10.871,11.913,30.548,14.608,32.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.895,5.743,34.361000000000004,0.0,0.0,0.0,0.0,0.0,0.0,70.211,130.0,30.0,47.541,51.126,30.053,18.821,10.579,1.451,1.228,0.191,0.641,0.071,0.014,0.248,0.523,0.144,0.262,0.0,0.0,0.0,0.0,0.0,6.437,1.732,1.009,1.0,23.0,77.0,0.0,0.0,65.638,34.361000000000004,,0.0,654.08,887.315,0.0,0.7159825109219098,0.864482277220712,FR004137,Group_2
3,O029531001,O0295310,FR,FR_EAUFRANCE,La Noue à Laffite-Toupière [Moulin Laffite],0.914831,43.17061,0.914831,43.17061,291,120.0,120.325,0,-0.2708333333333357,1968-09-11,2023-09-30,56,657,19961,19040,147.0,19643.0,46.0,272.0,A,,541,1,['FR001526'],0.695,0.293,2.205,2.701,0.524,161.019,33.371,0.093,2.204,11.618,2.142,51.766,11.0,0.0,2.365,2.57,1.086,-0.077,0.01,18.423,1.225,3.0,238.983,4.344,4.0,544.414,411.43,295.524,5.244,31.19,1.541,0.363,0.216,9,4.78,0.0,0.0,81.406,18.594,18.594,0.0,41.317,40.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.947,99.053,0.0,0.0,0.0,0.0,0.947,0.0,0.0,0.0,122.742,130.0,30.0,55.739,25.702,33.347,40.952,7.573,1.287,1.073,0.167,0.654,0.01,0.201,0.5569999999999999,0.222,0.006,0.758,0.0,0.0,0.0,0.0,0.0,0.418,0.246,2.672,2.0,19.0,81.0,0.0,0.947,99.053,0.0,,0.0,253.67499999999998,863.225,0.0,0.7334273391402004,0.7458099349185865,FR001526,Group_2
4,O144291002,Le Grand Hers Ã  Laroque-d'Olmes et au Peyrat,FR,FR_EAUFRANCE,Le Grand Hers à Laroque-d'Olmes et au Peyrat,1.935437,42.954244,1.935437,42.954244,413,190.0,189.677,0,0.1700000000000039,1962-01-01,2023-09-30,62,740,22492,13958,61.0,20986.0,2.0,1504.0,C,,541,5,"['FR004131', 'FR004132', 'FR001566', 'FR001567', 'FR001568']",1.837,0.747,0.813,2.752,0.664,174.525,27.912,0.389,4.965,2.413,1.591,12.278,7.844,0.0,2.421,2.257,0.932,-0.123,0.049,18.397,1.246,3.0,241.808,4.395,4.0,2326.972,1063.854,416.463,18.218,3.907,59.97,0.558,0.185,8,0.825,0.616,14.036,74.645,10.702,0.0,10.702,16.473,58.172,14.036,0.0,0.0,0.0,0.0,0.0,0.0,0.616,0.0,0.0,0.0,63.723,13.532,22.745,0.0,0.0,0.0,0.0,0.0,0.0,85.729,130.0,30.0,52.729,42.234,37.427,20.339,11.88,1.411,1.17,0.212,0.672,0.009,0.001,0.139,0.6379999999999999,0.208,0.14,0.0,0.0,0.0,0.0,0.0,7.511,0.0,0.02,2.0,11.0,88.0,1.0,0.0,77.255,22.745,,0.0,670.505,883.665,0.0,0.8152145522260335,0.891955478561036,FR004132,Group_2
5,O184402001,La LÃ¨ze Ã  LÃ©zat-sur-LÃ¨ze,FR,FR_EAUFRANCE,La Lèze à Lézat-sur-Lèze,1.352878,43.280809,1.352878,43.280809,199,237.0,253.092,0,-6.789873417721524,1968-02-13,2023-09-30,56,668,20303,13011,16.0,19038.0,0.0,1265.0,C,,541,5,"['FR004146', 'FR004147', 'FR004148', 'FR001580', 'FR004149']",0.489,0.228,2.357,4.026,0.448,163.717,38.808,0.02,1.818,25.554,3.741,135.756,14.474,0.0,2.124,2.558,1.205,-0.072,0.01,19.348,1.217,3.0,249.242,4.585,4.0,791.756,347.817,205.086,7.509,17.995,7.304,0.465,0.169,9,5.443,0.0,3.877,90.333,5.789,5.789,0.0,77.271,13.062,3.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.526,92.809,0.0,0.664,0.0,0.0,6.526,0.0,0.0,0.0,89.612,130.0,30.0,52.769,30.353,34.527,35.12,11.806,1.325,1.354,0.156,0.619,0.004,0.27,0.4929999999999999,0.211,0.017,0.7629999999999999,1.0,1.0,1.0,0.42,3.18,0.439,20.228,16.084,2.0,6.0,94.0,0.0,6.526,92.809,0.664,7.571428571428572,12.5646010146508,178.48499999999999,775.26,0.016206951235264038,0.6549816468216072,0.813087641108883,FR004149,Group_2
6,O048401001,O0484010,FR,FR_EAUFRANCE,Le Lez à Engomer [Balaguères],1.055137,42.949466,1.055137,42.949466,455,360.0,364.45,0,-1.236111111111108,1970-01-01,2023-09-30,54,645,19597,6878,34.0,17917.0,0.0,1680.0,C,,541,4,"['FR004107', 'FR001538', 'FR001539', 'FR001540']",2.598,0.886,1.008,2.111,0.698,192.353,25.763,0.638,6.448,0.674,1.333,9.438,1.223,0.0,2.877,2.154,0.749,-0.098,0.124,15.57,1.202,1.0,225.136,4.047,4.0,2839.857,1283.35,461.079,24.676,0.959,82.462,0.828,0.136,2,0.661,8.314,32.927,40.335,18.423,0.0,18.423,21.41,18.925,32.789,0.138,0.0,0.0,0.0,0.0,6.031,0.88,0.0,1.403,0.0,12.705,12.077,75.218,0.0,0.0,0.0,0.0,0.0,0.0,51.433,150.0,30.0,49.223,49.865,31.256,18.879,12.182,1.445,1.502,0.187,0.578,0.005,0.0,0.135,0.509,0.349,0.135,2.0,1.0,1.0,0.25,2.7,12.556,0.0,0.0,1.0,18.0,74.00000000000001,8.0,0.0,24.782,75.218,10.8,7.408423652078476,948.27,1050.105,0.007054936079800092,0.6077987147317487,0.866822093280006,FR001539,Group_2
7,O079401001,O0794010,FR,FR_EAUFRANCE,L'Arize à Rieux-Volvestre [Volvestre],1.193608,43.241706,1.193608,43.241706,205,476.0,478.037,0,-0.4279411764705835,1968-10-02,2023-09-30,56,657,19911,11807,176.0,18930.0,0.0,981.0,C,,541,6,"['FR004113', 'FR004114', 'FR001548', 'FR001549', 'FR001550', 'FR001551']",0.931,0.405,1.804,3.228,0.523,161.06,33.871,0.114,3.091,11.168,2.141,79.467,9.561,0.0,2.276,2.501,1.099,-0.073,0.015,18.736,1.222,3.0,243.364,4.418,4.0,1606.318,454.496,209.213,9.939,16.623,20.633,0.548,0.169,9,2.856,0.319,5.68,71.982,22.019,9.909,12.11,45.207,26.775,5.68,0.0,0.0,0.0,0.0,0.0,0.0,0.319,0.0,0.0,11.199,67.011,0.0,21.79,0.0,0.0,11.199,0.0,0.0,0.0,79.937,130.0,30.0,51.27,37.339,34.568,28.093,11.013,1.369,1.348,0.201,0.688,0.006,0.135,0.437,0.389,0.03,0.5720000000000001,1.0,1.0,2.0,0.71,4.21,0.903,11.708,11.365,2.0,22.0,78.0,0.0,11.199,67.011,21.79,5.929577464788733,8.806849678999743,339.815,830.7399999999999,0.010601210582131286,0.7948653872345035,0.8750308904405946,FR001551,Group_2
8,O198431001,O1984310,FR,FR_EAUFRANCE,Le Touch à Toulouse [Saint-Martin-du-Touch],1.376184,43.598683,1.376184,43.598683,143,515.0,501.613,0,2.5994174757281554,1968-01-01,2023-09-30,56,668,20305,19075,57.0,19767.0,44.0,494.0,A,,541,7,"['FR004153', 'FR004155', 'FR001582', 'FR001583', 'FR001589', 'FR001590', 'FR001591']",0.66,0.348,1.278,1.201,0.619,157.113,29.616,0.168,1.628,4.843,1.836,9.053,4.514,0.0,1.899,2.627,1.383,-0.05,0.006,19.525,1.214,3.0,250.984,4.766,4.0,380.278,247.143,143.835,2.849,63.3,0.027,0.468,0.19,11,23.123,0.0,0.0,28.566,71.434,71.434,0.0,28.566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.497,57.503,0.0,0.0,0.0,0.0,42.497,0.0,0.0,0.0,123.054,130.0,30.0,60.863,33.409,43.261,23.329,5.273,1.404,1.101,0.105,0.549,0.095,0.51,0.284,0.092,0.002,0.794,3.0,3.0,10.0,3.66,13.55,0.324,70.086,87.251,3.0,71.0,28.999999999999996,0.0,42.497,57.503,0.0,3.702185792349727,27.012856524850832,240.9,693.135,0.038971998997094116,0.6653149886920373,0.8313704749436555,FR001583,Group_2
9,O222251001,O2222510,FR,FR_EAUFRANCE,L'Hers à Toulouse [Pont de Périole],1.4801,43.62777,1.4801,43.62777,140,768.0,793.654,0,-3.340364583333333,1965-01-01,2023-09-30,55,655,19919,9458,1538.0,18743.0,658.0,518.0,C,,541,6,"['FR004156', 'FR004157', 'FR004158', 'FR004159', 'FR001592', 'FR001593']",0.379,0.205,2.762,3.134,0.555,162.481,37.172,0.036,1.317,15.03,3.563,69.256,9.843,0.0,1.822,2.615,1.435,-0.083,0.009,20.083,1.218,3.0,257.025,4.972,4.0,402.482,221.214,124.574,3.923,44.916,0.039,0.507,0.212,9,7.861,0.0,0.0,83.472,16.528,16.528,0.0,83.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.997,81.003,0.0,0.0,0.0,0.0,18.997,0.0,0.0,0.0,114.944,130.0,30.0,56.264,28.58,35.06,36.36,8.095,1.315,1.013,0.078,0.459,0.094,0.693,0.174,0.029,0.003,0.867,1.0,1.0,6.0,1.59,7.66,0.36,75.993,88.781,5.0,17.0,83.0,0.0,18.997,81.003,0.0,4.817610062893082,9.651561007693529,138.335,665.03,0.014512970854989293,0.6163475105272708,0.7888099016308143,FR001593,Group_2
10,O255000201,La Save Ã  Larra,FR,FR_EAUFRANCE,La Save à Larra,1.244217,43.728025,1.244217,43.728025,111,1110.0,1113.035,0,-0.2734234234234308,1965-10-01,2023-09-30,55,633,19265,16801,1919.0,18757.0,0.0,508.0,C,,541,9,"['FR004161', 'FR001521', 'FR001597', 'FR001599', 'FR001600', 'FR001601', 'FR001602', 'FR001603', 'FR004162']",0.458,0.225,2.113,2.55,0.539,160.51,37.875,0.063,1.545,12.249,2.845,47.226,5.436,0.0,2.026,2.622,1.294,-0.06,0.006,18.886,1.218,3.0,245.419,4.61,4.0,635.938,254.384,113.157,4.724,36.005,0.543,0.44,0.197,9,9.976,0.0,0.063,70.25500000000001,29.682,29.682,0.0,69.811,0.444,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.266,82.734,0.0,0.0,0.0,0.0,17.266,0.0,0.0,0.0,97.112,130.0,30.0,54.16,32.875,41.105,26.021,10.221,1.372,1.289,0.11,0.547,0.013,0.6,0.2799999999999999,0.103,0.001,0.8799999999999999,1.0,1.0,4.0,0.87,3.87,0.346,88.317,120.641,7.0,30.0,70.0,0.0,17.266,82.734,0.0,4.448275862068965,3.476979609805621,167.17000000000002,739.4899999999999,0.004701861566492612,0.7410609269726405,0.8501890375753619,FR004162,Group_2
11,O125251001,L'AriÃ¨ge Ã  Foix,FR,FR_EAUFRANCE,L'Ariège à Foix,1.608853,42.966262,1.608853,42.966262,375,1340.0,1350.508,0,-0.7841791044776147,1905-01-02,2023-09-30,119,1425,43370,28572,1.0,42111.0,0.0,1259.0,A,,541,17,"['FR004121', 'FR004122', 'FR004123', 'FR004124', 'FR004125', 'FR004126', 'FR004127', 'FR001554', 'FR001555', 'FR001556', 'FR001557', 'FR001558', 'FR001559', 'FR001560', 'FR001561', 'FR001562', 'FR004128']",2.475,0.849,0.447,1.78,0.747,196.444,21.806,0.768,5.726,0.054,1.0,1.048,2.962,0.0,2.915,1.948,0.668,-0.11,0.198,15.266,1.238,1.0,226.56,4.095,4.0,3099.778,1536.338,377.434,23.616,2.094,77.973,0.612,0.143,2,0.704,6.174,61.926,25.102,6.78,1.774,5.006,14.36,10.742,61.715,0.211,0.0,0.0,0.0,0.0,6.104,0.07,0.0,0.0,0.0,12.305,43.718,43.977,0.0,0.0,0.0,0.0,0.0,0.0,55.274,150.0,30.0,47.423,55.596,28.24,16.164,12.232,1.483,1.472,0.146,0.492,0.0099999999999999,0.0,0.062,0.353,0.567,0.062,11.0,9.0,8.0,2.77,122.82,18.597,0.0,0.0,5.0,7.000000000000001,87.0,6.0,0.0,56.023,43.977,44.33935018050541,90.94355605446246,903.375,1063.975,0.08547527531611407,0.636275829345017,0.8311617733337803,FR004128,Group_2
12,O171251001,L'AriÃ¨ge Ã  Auterive,FR,FR_EAUFRANCE,L'Ariège à Auterive,1.466145,43.369015,1.466145,43.369015,177,3450.0,3379.275,0,2.049999999999997,1966-01-01,2023-09-30,58,693,21041,12585,51.0,19923.0,0.0,1118.0,C,['FR004144'],541,49,"['FR004121', 'FR004122', 'FR004123', 'FR004124', 'FR004125', 'FR004126', 'FR004127', 'FR004128', 'FR004129', 'FR004130', 'FR004131', 'FR004132', 'FR004133', 'FR004134', 'FR004135', 'FR004136', 'FR004137', 'FR004138', 'FR004139', 'FR004140', 'FR004141', 'FR004142', 'FR004145', 'FR001554', 'FR001555', 'FR001556', 'FR001557', 'FR001558', 'FR001559', 'FR001560', 'FR001561', 'FR001562', 'FR001563', 'FR001564', 'FR001565', 'FR001566', 'FR001567', 'FR001568', 'FR001569', 'FR001570', 'FR001571', 'FR001572', 'FR001573', 'FR001574', 'FR001575', 'FR001576', 'FR001577', 'FR001578', 'FR001579', 'FR004143']",1.497,0.601,0.596,2.192,0.721,183.019,23.242,0.404,3.656,0.715,1.281,2.528,2.843,0.0,2.451,2.253,0.919,-0.112,0.051,16.831,1.225,3.0,230.588,4.161,4.0,3099.778,915.593,179.104,14.617,18.124,42.572,0.634,0.176,9,4.794,3.563,28.035,49.654,18.74,15.676,3.064,38.893,10.761,27.951,0.084,0.0,0.0,0.0,0.0,3.5,0.063,0.0,0.0,13.309,44.812,18.39,23.488,0.0,0.0,13.309,0.0,0.0,0.0,85.326,150.0,30.0,49.379,47.931,30.428,21.642,10.405,1.437,1.229,0.157,0.57,0.017,0.114,0.245,0.354,0.265,0.359,13.0,11.0,12.0,7.69,186.8,8.423,207.178,190.738,12.0,19.0,77.0,4.0,13.309,63.202,23.488,24.291287386215863,55.278129184514434,546.4050000000001,894.615,0.06178985282441546,0.8174065465744945,0.8892960575952118,FR004143,Group_2
