basin_id,lit_fra_Alluvium,lit_fra_Arkose,lit_fra_Coal,lit_fra_Conglomerate,lit_fra_Cristallin basement,lit_fra_Dolomite rock,lit_fra_Gravel and sand,lit_fra_Limestone,lit_fra_Limestone and marl,lit_fra_Marl,lit_fra_Marl and dolomite,lit_fra_Marl and limestone,lit_fra_Marl and sandstone,lit_fra_Plutonic rock,lit_fra_Quarzite,lit_fra_Sand,lit_fra_Sand and gravel,lit_fra_Sandstone,lit_fra_Sandstone and conglomerate,lit_fra_Sandstone and marl,lit_fra_Sandstone and schist,lit_fra_Sandstone and siltstone,"lit_fra_Sandstone, conglomerate and marl","lit_fra_Sandstone, siltstone and schist",lit_fra_Schist,lit_fra_Schist and sandstone,lit_fra_Silt,lit_fra_Silt and schist,"lit_fra_Siltstone, sandstone and schist",lit_fra_Volcanic rock,lit_fra_totalarea,lit_dom,tot_area
BEWA0066,2.090837929789102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3604325872315105,0.0,0.0,0.8566928605423362,0.0,0.0,0.0,0.0,0.0,0.0,93.37301115942664,3.319025463010419,0.0,0.0,0.0,0.0,100.0,Schist,99.3772202608042
BEWA0067,2.3476249330789107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2732401594821214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.37913490743897,0.0,0.0,0.0,0.0,0.0,100.0,Schist,99.56865290332856
BEWA0087,0.005000339266503782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9949996607335,0.0,0.0,0.0,0.0,0.0,100.0,Schist,98.7867858654088
BEWA0106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,Schist,99.0074551822376
BEWA0107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.999020617136216,0.0,0.0,0.0,0.0,0.0,0.0,80.50821408920336,15.492765293660424,0.0,0.0,0.0,0.0,100.0,Schist,98.80870523104379
BEWA0119,2.3691720591517105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32591876377811857,0.0,0.0,0.7746588070466467,0.0,0.0,0.0,0.0,0.0,0.0,93.52904372508263,3.0012066449409094,0.0,0.0,0.0,0.0,100.0,Schist,99.436519539955
DEBU1956,8.261313765525971,0.0,1.776392413696317,0.0,10.27572080740034,15.961409944104918,0.0,30.39719749202547,0.004249636844716829,17.88182195339772,0.0021541138147581503,0.2542895249602212,0.0001254363250917819,0.2594219769111844,0.0,0.0,0.0054203909982961,10.798253046829947,0.0,4.105020498764852,0.0,0.0,0.0,0.0,0.0,0.0,0.017208998400202225,0.0,0.0,0.0,100.0,Limestone,99.7745841502005
DEBU1957,4.000839471877991,2.246995881814351,0.0,0.23577861126269145,0.046626445446964884,21.375817322775198,0.022206386562498195,15.41465331604915,5.257096324638759,7.512141348861981,0.0,0.0,0.0,0.0,0.9715748904066797,0.2974098629452652,2.321904003303821,16.422453648288535,9.868455738128558,2.8164388088479235,0.2741852129923518,5.410242076720649,1.9896828662754324,0.8712126803954205,0.8220917186686126,0.0,0.9041190316944818,0.0,0.0,0.9180743520426974,100.0,Dolomite rock,99.94322146224296
DEBU1958,6.362758086189616,0.6590673974859389,0.8572789865224737,0.06915633311364909,4.972692653427878,14.680430336048826,0.006513365475104867,20.141571929025513,1.792548009436871,15.001673783002664,0.2951567993608985,0.8524009474160148,0.19806206553689368,0.12519587886851705,0.5838135766313446,0.11020372354875684,1.0237456827735483,12.398015959977124,3.729590905246294,3.065943611674164,0.39025710416584325,1.752613914257372,0.5835947983312132,0.2555357927319953,9.392761627072138,0.04966066773597718,0.3804752537071831,0.0,0.0,0.26928081123620057,100.0,Limestone,99.82799150957354
DEBU1959,6.099059888476352,0.5786270373052587,0.7526465457216562,0.061786148458162646,4.3657665793489455,13.010971040577013,0.2047790001522838,17.873333091558344,1.629960290384825,13.546275782310763,0.2591323816140413,0.7483638800537802,0.1738882345285754,0.10991549688067158,1.5405533501400803,0.12026478476479582,1.4494182602472163,11.919816617684994,4.078852115778162,3.148638116502461,1.5129371715372968,2.3063551522906414,0.5123660044985828,0.5538872803993311,12.089680890047978,0.04359949400058494,0.4139154915674909,0.0001482279854817662,0.2992187447630342,0.5958429004211896,100.0,Limestone,99.84454069974058
DERP2003,4.756031711907535,0.0,0.0,0.0,0.0,1.0892333928725162,0.0,3.901447774480493,0.0,16.895156072623287,0.760670475600362,4.604009945218189,1.2095392482748835,0.0,0.23681278144396084,0.0,0.023565583298558124,11.818820532710966,0.7227784603970066,0.1949219382500916,0.4898202586368446,0.0,0.0,0.0,52.908360029605284,0.3643779649505232,0.024453829729491453,0.0,0.0,0.0,100.0,Schist,99.65916074663784
DERP2004,2.835252786152305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2523531794540372,0.0,0.0,0.49737972937578484,0.0,0.0,2.590349872690517,0.0,0.0,0.0,90.89769959476108,1.9269648375662733,0.0,0.0,0.0,0.0,100.0,Schist,99.6374783193029
