,gauge_id,gauge_name,gauge_country,gauge_provider,river,lon_snap,lat_snap,lon,lat,elevation,area_official,area_estreams,area_flag,area_rel,start_date,end_date,num_years,num_months,num_days,num_continuous_days,num_days_gaps,num_days_reliable,num_days_noflag,num_days_suspect,gauge_flag,duplicated_suspect,watershed_group,gauges_upstream,nested_catchments,q_mean,q_runoff_ratio,q_elas_Sankarasubramanian,slope_sawicz,baseflow_index,hfd_mean,hfd_std,q_5,q_95,hq_freq,hq_dur,lq_freq,lq_dur,zero_q_freq,p_mean,pet_mean,aridity,p_seasonality,frac_snow,hp_freq,hp_dur,hp_time,lp_freq,lp_dur,lp_time,ele_mt_max,ele_mt_mean,ele_mt_min,slp_dg_mean,flat_area_fra,steep_area_fra,elon_ratio,strm_dens,lit_dom,bedrk_dep,perm_verylow_glob,perm_low_glob,perm_medium_glob,perm_high_glob,lit_fra_su,lit_fra_ss,lit_fra_sm,lit_fra_sc,lit_fra_mt,lit_fra_pi,lit_fra_py,lit_fra_vi,lit_fra_ev,lit_fra_ig,lit_fra_pa,lit_fra_pb,lit_fra_va,lit_fra_vb,perm_high_cont,perm_medium_cont,perm_low_cont,perm_verylow_cont,lit_fra_Conglomerates,lit_fra_Conglomerates and sands,lit_fra_Gravels,lit_fra_Sands,lit_fra_Sandstones,lit_fra_Sandstones and sands,root_dep_mean,root_dep_max,root_dep_min,soil_tawc_mean,soil_fra_sand_mean,soil_fra_silt_mean,soil_fra_clay_mean,soil_fra_grav_mean,soil_bd_mean,soil_oc_mean,lai_mean,ndvi_mean,lulc_2006_urban,lulc_2006_NonIrriAgri,lulc_2006_Agric,lulc_2006_forest,lulc_2006_grass,lulc_2006_agriculture,dam_num,res_num,lakes_num,lakes_tot_area,lakes_tot_vol,sno_cov_mean,irri_1990,irri_2005,stations_num_p_mean,perm_high_glob2,perm_medium_glob2,perm_low_glob2,perm_high_cont2,perm_medium_cont2,perm_low_cont2,basin_id,group
10,3177,VACIAMADRID                        ,ES,ES_CEDEX,,-3.55484455,40.32383104,-3.554844558175046,40.3238310497625,535,1240.0,1179.452,0,4.882903225806452,1929-10-01,2019-09-30,55,623,18837,8411,14035.0,0.0,18837.0,0.0,E,,597,15,"['ES001246', 'ES001282', 'ES001283', 'ES001284', 'ES001285', 'ES001286', 'ES001335', 'ES001336', 'ES001337', 'ES001346', 'ES001348', 'ES001374', 'ES001390', 'ES001407', 'ES001408']",1.006,0.785,0.876,0.707,0.828,163.396,19.577,0.579,1.895,0.272,1.556,0.058,1.5,0.0,1.284,3.008,2.343,-0.383,0.007,24.886,1.399,1.0,291.476,8.164,4.0,2364.56,822.721,535.029,4.883,50.381,7.744,0.534,0.158,9,10.975,34.948,0.0,49.033,14.193,9.604,4.589,46.06,2.973,0.0,0.0,0.0,0.0,0.0,0.0,34.948,0.0,0.0,0.0,58.41199999999999,9.747,3.459,28.382,0.0,0.179,24.759,0.0,0.0,33.474,92.111,150.0,0.0,43.541,61.11,22.086,13.4,9.77,1.468,1.053,0.074,0.401,0.248,0.093,0.102,0.207,0.258,0.195,5.0,5.0,3.0,9.91,147.1,0.826,17.678,17.853,6.0,14.000000000000002,51.0,35.0,58.41199999999999,13.206,28.382,ES001336,Group_1
11,3153,VALDEPEÑAS DE LA SIERRA            ,ES,ES_CEDEX,,-3.46741682,40.86775581,-3.467416825966937,40.86775581674041,695,1620.0,1615.504,0,0.2775308641975367,1972-10-01,2019-09-30,48,564,17157,12648,9.0,0.0,17157.0,0.0,B,,597,13,"['ES001232', 'ES001234', 'ES001268', 'ES001269', 'ES001316', 'ES001317', 'ES001318', 'ES001329', 'ES001330', 'ES001353', 'ES001354', 'ES001430', 'ES001315']",0.234,0.151,4.01,3.267,0.444,147.191,38.611,0.005,1.117,34.275,8.131,168.734,27.811,0.013,1.589,2.712,1.706,-0.355,0.033,22.818,1.373,1.0,273.856,6.926,4.0,2413.624,1257.698,692.416,11.916,10.844,34.305,0.658,0.149,9,0.991,38.725,0.0,47.492,10.637999999999998,2.268,8.37,46.64,0.852,0.0,0.0,0.0,0.0,0.0,0.0,38.725,0.0,0.0,0.0,16.383000000000003,6.011,39.062,38.545,0.0,0.813,8.266,0.0,0.0,7.304,47.175,150.0,0.0,41.996,41.95,29.732,18.324,10.093,1.281,1.792,0.103,0.533,0.004,0.023,0.049,0.385,0.523,0.072,8.0,7.0,6.0,16.1,639.4,2.834,10.442,14.799,1.0,11.0,50.0,39.0,16.383000000000003,45.073,38.545,ES001315,Group_1
12,3183,ESCALONA                           ,ES,ES_CEDEX,,-4.40115726,40.16500934,-4.40115726170982,40.16500934886582,419,3102.0,3113.66,0,-0.3758865248226903,1969-10-01,2013-05-31,42,471,14007,6087,1942.0,0.0,14007.0,0.0,D,,597,12,"['ES001249', 'ES001250', 'ES001294', 'ES001295', 'ES001296', 'ES001297', 'ES001339', 'ES001342', 'ES001347', 'ES001356', 'ES001375', 'ES001378']",0.434,0.363,2.184,2.653,0.587,170.6,58.766,0.019,1.663,13.794,10.173,85.504,9.673,0.005,1.169,2.94,2.516,-0.319,0.009,24.954,1.379,1.0,287.136,7.635,4.0,2192.544,977.141,416.953,8.1,21.705,15.338,0.591,0.153,4,3.817,70.735,1.999,16.028,9.37,5.985,3.385,8.532,7.496,1.999,0.0,0.0,0.0,0.0,0.0,70.735,0.0,0.0,0.0,21.663,0.374,13.597,64.367,0.0,0.0,3.168,0.0,0.0,18.495,67.097,150.0,0.0,38.642,60.213,19.724,12.565,11.757,1.414,1.332,0.088,0.486,0.023,0.052,0.135,0.308,0.475,0.187,15.0,15.0,6.0,10.91,397.07,1.043,53.121,77.5,0.0,9.0,18.0,73.0,21.663,13.971,64.367,ES001342,Group_1
13,3052,MEJORADA DEL CAMPO                 ,ES,ES_CEDEX,,-3.50943998,40.39521246,-3.509439984800071,40.39521246704042,550,7005.0,6922.838,0,1.1729050678087116,1912-01-01,2019-09-30,95,1123,33429,12811,5926.0,0.0,33429.0,0.0,D,,597,36,"['ES001232', 'ES001234', 'ES001265', 'ES001266', 'ES001267', 'ES001268', 'ES001269', 'ES001270', 'ES001271', 'ES001273', 'ES001275', 'ES001276', 'ES001277', 'ES001278', 'ES001279', 'ES001280', 'ES001281', 'ES001315', 'ES001316', 'ES001317', 'ES001318', 'ES001319', 'ES001320', 'ES001321', 'ES001326', 'ES001329', 'ES001330', 'ES001351', 'ES001353', 'ES001354', 'ES001388', 'ES001400', 'ES001401', 'ES001417', 'ES001418', 'ES001430']",0.288,0.213,2.073,2.129,0.597,153.06,31.128,0.032,1.092,16.934,7.298,46.35,12.228,0.0,1.35,2.935,2.174,-0.317,0.019,24.219,1.372,1.0,279.598,7.218,4.0,2413.624,1016.922,548.001,7.358,31.481,14.496,0.644,0.169,9,5.137,13.712,0.731,62.441,22.141,8.913,13.228,54.105,8.336,0.731,0.0,0.0,0.0,0.0,0.0,13.712,0.0,0.0,0.0,48.569,15.126,18.172,18.133,0.0,2.332,20.817,0.0,0.398,25.022,71.085,150.0,0.0,47.129,40.617,31.532,20.347,10.672,1.307,1.232,0.078,0.44,0.044,0.225,0.104,0.238,0.372,0.329,15.0,13.0,10.0,25.91,942.5,1.252,133.84,191.085,6.0,22.0,64.0,14.000000000000002,48.569,33.298,18.133,ES001271,Group_1
14,3100,VILLALBA                           ,ES,ES_CEDEX,,-4.005816710000002,40.62816148,-4.005816713391907,40.62816148132514,850,234.0,235.745,0,-0.7457264957264976,1962-12-20,2019-09-30,51,580,17522,6440,3217.0,0.0,17522.0,0.0,D,,597,3,"['ES001290', 'ES001349', 'ES001350']",0.713,0.494,2.437,5.254,0.525,151.13,34.625,0.011,3.001,39.731,8.783,161.342,34.248,0.028,1.455,2.744,1.886,-0.345,0.019,24.777,1.353,1.0,284.21,7.441,4.0,2126.819,1159.848,868.192,8.841,29.603,23.093,0.678,0.087,4,1.197,98.757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.757,0.0,0.0,0.0,0.0,0.0,12.228,87.772,0.0,0.0,0.0,0.0,0.0,0.0,40.13,150.0,0.0,35.222,55.173,19.675,12.165,10.753,1.326,1.757,0.11,0.547,0.153,0.002,0.104,0.469,0.265,0.106,5.0,3.0,1.0,0.36,2.36,1.511,2.915,3.014,1.0,0.0,0.0,100.0,0.0,12.228,87.772,ES001290,Group_1
0,3197,CANTOS BLANCOS                     ,ES,ES_CEDEX,,-4.55547518,39.63251309,-4.555475188146514,39.6325130936205,720,53.0,60.875,2,-14.858490566037736,1969-02-01,2010-01-06,40,426,12897,6879,2053.0,0.0,12897.0,0.0,D,,597,1,['ES001355'],0.722,0.619,2.17,1.95,0.577,143.455,33.111,0.068,2.255,12.036,3.602,63.325,34.938,0.001,1.166,3.19,2.737,-0.465,0.007,28.097,1.476,1.0,297.681,9.31,4.0,1360.58,961.167,715.738,14.131,3.93,48.189,0.732,0.075,10,0.766,0.0,0.0,32.96,67.04,0.0,67.04,32.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.344,0.0,36.457,54.199,0.0,9.344,0.0,0.0,0.0,0.0,51.311,130.0,0.0,33.032,33.934,24.508,15.328,13.672,1.045,0.769,0.109,0.553,0.0,0.021,0.032,0.537,0.411,0.053,0.0,0.0,0.0,0.0,0.0,0.427,0.0,1.034,0.0,67.0,33.0,0.0,9.344,36.457,54.199,ES001355,Group_2
1,3268,TARAVILLAS                         ,ES,ES_CEDEX,,-1.9661206,40.67979392,-1.96612060677306,40.67979392307225,1107,206.0,185.152,2,10.12038834951457,1982-10-01,2019-09-30,38,444,13514,13514,0.0,0.0,13514.0,0.0,B,,597,1,['ES001412'],0.423,0.307,1.436,2.044,0.744,179.838,27.109,0.107,1.214,2.811,3.152,8.73,24.846,0.0,1.453,2.826,1.945,-0.08,0.079,25.377,1.332,3.0,282.221,6.85,4.0,1874.266,1458.334,1105.91,9.973,11.596,20.491,0.529,0.225,8,1.136,0.0,14.522,78.16900000000001,7.309,7.309,0.0,22.582,55.587,14.522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.758,55.28,0.0,10.962,0.0,8.265,6.77,0.0,18.723,0.0,52.116,150.0,30.0,48.08,41.46,37.116,21.423,15.365,1.402,1.791,0.09,0.5,0.0,0.071,0.027,0.502,0.401,0.098,0.0,0.0,0.0,0.0,0.0,2.21,0.0,0.866,0.0,7.000000000000001,93.0,0.0,33.758,55.28,10.962,ES001412,Group_2
2,3100,VILLALBA                           ,ES,ES_CEDEX,,-4.005816710000002,40.62816148,-4.005816713391907,40.62816148132514,850,234.0,235.745,0,-0.7457264957264976,1962-12-20,2019-09-30,51,580,17522,6440,3217.0,0.0,17522.0,0.0,D,,597,3,"['ES001290', 'ES001349', 'ES001350']",0.713,0.494,2.437,5.254,0.525,151.13,34.625,0.011,3.001,39.731,8.783,161.342,34.248,0.028,1.455,2.744,1.886,-0.345,0.019,24.777,1.353,1.0,284.21,7.441,4.0,2126.819,1159.848,868.192,8.841,29.603,23.093,0.678,0.087,4,1.197,98.757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.757,0.0,0.0,0.0,0.0,0.0,12.228,87.772,0.0,0.0,0.0,0.0,0.0,0.0,40.13,150.0,0.0,35.222,55.173,19.675,12.165,10.753,1.326,1.757,0.11,0.547,0.153,0.002,0.104,0.469,0.265,0.106,5.0,3.0,1.0,0.36,2.36,1.511,2.915,3.014,1.0,0.0,0.0,100.0,0.0,12.228,87.772,ES001290,Group_2
3,3193,TOROTE                             ,ES,ES_CEDEX,,-3.42018304,40.46931064,-3.420183043364241,40.46931064488598,579,252.0,255.925,0,-1.557539682539687,1972-11-07,2019-09-30,37,401,12064,7305,5065.0,0.0,12064.0,0.0,E,,597,1,['ES001351'],0.127,0.115,3.403,4.529,0.547,156.867,29.805,0.0,0.443,17.711,5.85,128.37,34.754,0.058,1.162,3.13,2.694,-0.336,0.009,25.92,1.394,1.0,295.272,8.431,4.0,952.958,794.728,574.698,3.239,56.509,0.029,0.406,0.229,10,13.768,0.0,0.0,43.463,56.537,9.915,46.622,43.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,67.441,0.0,0.0,32.559,80.849,130.0,0.0,48.783,51.34,29.911,18.363,10.649,1.445,1.136,0.061,0.371,0.041,0.692,0.041,0.08,0.144,0.733,0.0,0.0,0.0,0.0,0.0,0.424,0.497,0.522,1.0,56.99999999999999,43.0,0.0,100.0,0.0,0.0,ES001351,Group_2
4,3233,VALDECABA BAJA                     ,ES,ES_CEDEX,,-3.89212462,39.89098882,-3.892124623551707,39.89098882771503,469,256.0,264.56,0,-3.343750000000001,1974-02-01,2019-09-30,44,500,15200,11420,1478.0,0.0,15200.0,0.0,C,,597,1,['ES001380'],0.019,0.018,4.297,5.166,,179.538,61.923,0.0,0.071,84.969,28.288,247.481,91.142,0.22,1.069,3.27,3.058,-0.415,0.007,27.757,1.416,3.0,300.851,9.365,4.0,1220.342,734.9,469.735,2.549,77.473,1.712,0.484,0.145,4,2.808,58.473,24.886,11.32,5.321,0.098,5.223,6.016,5.304,24.886,0.0,0.0,0.0,0.0,0.0,58.473,0.0,0.0,0.0,11.502,0.0,27.478,61.02,0.0,0.0,11.502,0.0,0.0,0.0,50.769,150.0,0.0,39.961,56.958,24.623,16.112,15.95,1.458,1.043,0.047,0.317,0.023,0.033,0.675,0.049,0.214,0.7080000000000001,0.0,0.0,1.0,0.16,0.39,0.369,19.673,44.487,0.0,5.0,36.0,59.0,11.502,27.478,61.02,ES001380,Group_2
