,0
high_snow_k,5.194941590464351
high_unsaturated_Smax,235.08483732494454
high_unsaturated_Ce,1.0256099016424323
high_unsaturated_beta,1.004868106726883
high_slowhigh_k,0.0004400137394781884
general_snow_k,5.194941590464351
general_unsaturated_Smax,235.08483732494454
general_unsaturated_Ce,1.0256099016424323
general_unsaturated_beta,1.004868106726883
general_lowersplitter_splitpar,0.5035270990551097
general_slow_k,0.024408455189730817
general_lag-fun_lag-time,2.3795210803721676
general_fast_k,0.5250019758209543
low_snow_k,5.194941590464351
low_unsaturated_Smax,235.08483732494454
low_unsaturated_Ce,1.0256099016424323
low_unsaturated_beta,1.004868106726883
low_fast_k,0.003511587401809981
