,0
high_snow_k,2.7342337992949277
high_unsaturated_Smax,400.0307167969554
high_unsaturated_Ce,0.6263194497514029
high_unsaturated_beta,9.339579970676564
high_slowhigh_k,0.00016300414108779096
general_snow_k,2.7342337992949277
general_unsaturated_Smax,400.0307167969554
general_unsaturated_Ce,0.6263194497514029
general_unsaturated_beta,9.339579970676564
general_lowersplitter_splitpar,0.25309604438395517
general_slow_k,0.0018814187169451987
general_lag-fun_lag-time,2.0262677287527424
general_fast_k,0.032454073064844075
low_snow_k,2.7342337992949277
low_unsaturated_Smax,400.0307167969554
low_unsaturated_Ce,0.6263194497514029
low_unsaturated_beta,9.339579970676564
low_fast_k,0.0028821339175748033
