basin,nse,nse_rg,nse_r1comp,nse_c1comp,nse_g1comp,nse_nogeo,nse_bfi_r1comp,nse_bfi_c1comp,nse_bfi_g1comp,nse_bfi_nogeo,bfi_obs,bfi_r1comp,bfi_c1comp,bfi_g1comp,bfi_nogeo,qmean_obs,qmean_r1comp,qmean_c1comp,qmean_g1comp,qmean_nogeo,slope_obs,slope_r1comp,slope_c1comp,slope_g1comp,slope_nogeo,hfd_obs,hfd_r1comp,hfd_c1comp,hfd_g1comp,hfd_nogeo
BEWA0106,0.028306068098172266,0.15090604461694834,0.8381595558614789,0.8098534877633067,0.6872535112445306,0.7600297864097731,,,,,0.4968046967832148,0.5420875419633462,0.6002437309995101,0.709450317659795,0.647550100271091,1.157128320430866,1.1186658748066367,1.1045853839810313,1.1355765209823963,1.1004481305233398,4.0636305642567105,3.7854279966469817,2.939085785494128,1.9887329157244333,2.1376851220832567,127.0,130.08695652173913,133.69565217391303,142.2608695652174,138.69565217391303
FR003280,-0.013552233576890504,0.010345784479193432,0.5822649621229621,0.5958171956998526,0.5719191776437687,0.6394959146047277,,,,,0.6641526137715094,0.5587663661763829,0.5740399497929771,0.5584815638507442,0.6258212848439904,1.2547971041714252,0.9936039511351111,0.9943917952660191,0.9917057854835457,0.9857771943323431,3.012885676799598,2.224034666550716,2.243098973719886,2.2918855959346263,2.1520504161336147,139.57692307692307,131.57692307692307,132.34615384615384,129.92307692307693,134.26923076923077
DERP2017,0.030514227985857012,0.024125189697486227,0.9042104555847029,0.8736962275988459,0.8800852658872167,0.8910358071649169,0.9103204163872792,0.8448764144923773,0.8843815775464144,0.8775767083430777,0.6040660981781378,0.5989021292487133,0.5816199144670701,0.6677425290310355,0.6299888415359639,1.323952539769067,1.1922977307825298,1.189961956821065,1.2088648072077008,1.1786678702472608,2.6920265731938446,2.62757044850344,3.0136306625806757,2.061874349116436,2.10912692257224,133.5,130.57692307692307,127.8076923076923,135.46153846153845,133.92307692307693
DERP2031,0.00884698884432511,0.027634219188031883,0.8773711616797749,0.8685241728354498,0.849736942491743,0.8693208384243993,0.9094618853450345,0.8713693585377373,0.7355512925802543,0.7964380247725773,0.589492155815281,0.5631507273699916,0.5794735944916151,0.6678615377881792,0.6280743779182942,1.1105974049514904,1.1947644661649006,1.18832163691487,1.2097383230325447,1.1779736987998712,3.0308423381768783,3.121289748909398,3.0302100128602816,2.0611930320931955,2.099970095602567,133.8846153846154,128.0,128.26923076923077,135.6153846153846,133.76923076923077
FR000125,0.024183474643919456,0.03800360210959197,0.8697259328704148,0.8455424582264953,0.8317223307608228,0.8230280983762082,,,,,0.5023047759426577,0.5166015695253788,0.5551032202553258,0.5607671125037009,0.5949210329056249,3.519459023368721,3.1571363591050545,3.0835684098076386,3.130761315482916,3.1027503491623523,2.7963068203600563,2.9545594869019087,2.5407139280004523,2.8548262323939633,1.9564589402843944,125.91304347826087,125.91304347826087,129.17391304347825,128.08695652173913,133.1304347826087
DERP2018,0.013696787779291508,0.04607910574630736,0.890004876996649,0.8763080892173575,0.8439257712503416,0.8764803248812326,0.8824886086726017,0.8566340744601895,0.6652390187230799,0.7659626838868069,0.5762481641776137,0.585190088222399,0.582330242173989,0.6692975098404692,0.6307890895426785,1.024572454928391,1.175556804600763,1.1727321700577562,1.1912262745099014,1.1613734217067353,2.8786026835903322,2.7535136629357067,3.0198497301929,2.064230190717514,2.1119327974809665,132.46153846153845,129.76923076923077,127.88461538461539,135.6153846153846,134.0
DERP2022,0.00810209267997375,-0.031768975429179336,0.8454267050025338,0.8373246123225601,0.8771956804317131,0.8383747097833577,0.7907485656657116,0.8274388933158929,0.8880968386385141,0.8692121559125522,0.560257812862486,0.5968585855252451,0.6307124024521285,0.6058601875116605,0.6479442794868246,1.3282642136993508,1.1432576565401835,1.131341815812212,1.16426315123657,1.1263425374065608,2.16063169738943,2.7744181228228397,2.484339943151212,2.1853097833619284,2.114206768825345,129.8846153846154,133.34615384615384,135.96153846153845,134.84615384615384,139.1153846153846
DERP2033,0.058078409170613465,0.016070381936552636,0.8787466086649514,0.8206681994943379,0.8626762267283987,0.8261129988091552,0.8897555248702392,0.8038299346147179,0.8322298245168365,0.7851175638072888,0.513752790574686,0.5888899408296295,0.6459520864393988,0.6203679072813069,0.6495374948510118,0.8456727379502524,0.8226694516334494,0.8224185244861374,0.8293172118885883,0.8138648484016345,2.638083649959376,2.8366562935703725,2.7730606260669046,2.3976582012589054,2.1973844413629084,127.96153846153847,134.0,136.1153846153846,136.65384615384616,138.80769230769232
FR003261,-0.0034157287393218327,-0.01363670909941117,0.75423168597593,0.7576474147152519,0.7678683950753412,0.7716424635898185,0.45423559542413405,0.5091643978392051,0.6509756027487918,0.6862516831078901,0.6059598129957963,0.7018535717122192,0.6928497362938628,0.6270978789228199,0.6404196674464321,0.9507015985441356,1.156042052793712,1.1534267239660294,1.1819559453791488,1.1508330831592612,2.220164395451184,1.786976305020467,1.917809722417913,2.263851192896173,2.279284293882901,133.46153846153845,139.42307692307693,137.96153846153845,132.23076923076923,134.0
FR003295,0.005526469907777054,0.015717178354724082,0.785342422504826,0.779815952597049,0.7696252441501019,0.7670746314146776,,,,,0.5769152417053487,0.651510643170358,0.6512987365497382,0.6217728279770063,0.6429089293146235,0.874862179138891,0.9963853892317853,0.9977561855188882,1.0105801401467258,0.9913020673491816,1.8349622379426132,1.9569052667524527,2.113791959866253,2.2874166967028473,2.283281122825057,134.52,136.84,136.68,133.36,135.52
FR003253,0.014578107361882031,0.02713251803687855,0.8277047617875409,0.8131266544256589,0.8005722437506624,0.8113045814333344,,,,,0.6512894124251375,0.681776240066045,0.6452409355222106,0.6482289678118428,0.6357267515698907,1.4149041810573662,1.3945490614424276,1.3836669992230881,1.4365851464257415,1.3835589577147474,2.3023088777028162,2.0384459409763043,2.1960536230560628,2.33147429046367,2.133831097104834,140.89473684210526,137.21052631578948,135.42105263157896,134.31578947368422,135.68421052631578
FR003262,-0.007102021144766102,0.012505282446255483,0.8939186335890963,0.9010206547338624,0.8814133511428408,0.8957530017625689,,,,,0.6343893699502714,0.6815697248775436,0.6635413508460094,0.6421552381415208,0.6415639657033473,1.2114182847345858,1.2128291993057259,1.2071609696275098,1.2425909393389685,1.2039567511301519,2.3265395283367276,2.013647188233978,2.124993695300652,2.3932137295533966,2.205887675179195,135.24,136.4,134.96,132.2,134.32
DEBU1957,0.0039537856904924285,0.007855539733407801,0.9164625586305256,0.9125087729400332,0.9086070188971178,0.900589544454075,0.8977234903741562,0.8905150295502001,0.905639740711438,0.8972123950413833,0.6064127198456731,0.6533096758200738,0.6559638302488389,0.6283100859803089,0.6475350869048676,0.8558204789088875,0.874678516407043,0.8791776078696603,0.8808566729449807,0.8705784554010306,2.049170615368509,1.9942894259065271,2.0830601535782556,2.275479123573214,2.2428759837983026,134.1153846153846,136.26923076923077,135.92307692307693,133.07692307692307,134.92307692307693
DEBU1959,-0.00655640860491058,0.004334156787073273,0.8985678550110237,0.9051242636159342,0.8942336982239504,0.909957816144715,0.9325387308498845,0.9353944772233242,0.9182821108184336,0.9316420482745058,0.6098823777540179,0.6424377096089803,0.6494155173557931,0.6352364895043209,0.6516284542781385,0.995652213866705,0.9527899111477753,0.952722521054597,0.9638693713045132,0.9454270803305663,2.5260576243304294,2.1716520501404544,2.2243977174349303,2.2942809814778884,2.1670896158364417,132.23076923076923,134.07692307692307,134.0,132.53846153846155,134.73076923076923
FR000184,-0.0005616959314886927,0.1420036914761018,0.6871911850982124,0.6877528810297011,0.5451874936221106,0.37908738988828306,,,,,0.7607683459067961,0.7785130278452315,0.7663540950185465,0.699148457706667,0.6401426981172773,1.3461345641856322,1.2012651951760693,1.1970525964310827,1.234542502282753,1.198574989104423,1.439657424216201,1.469177109672592,1.5397071339291568,2.1600294612985316,2.205139930299285,152.48,146.96,145.0,136.96,135.08
