,0
high_snow_k,0.30343488691487885
high_unsaturated_Smax,311.90828194227356
high_unsaturated_Ce,0.6723623752612458
high_unsaturated_beta,1.0763642267618485
high_slowhigh_k,0.0032965866002471643
general_snow_k,0.30343488691487885
general_unsaturated_Smax,311.90828194227356
general_unsaturated_Ce,0.6723623752612458
general_unsaturated_beta,1.0763642267618485
general_lowersplitter_splitpar,0.6609856048912188
general_slow_k,0.020565815666408707
general_lag-fun_lag-time,2.302135666280588
general_fast_k,0.35723439639840027
low_snow_k,0.30343488691487885
low_unsaturated_Smax,311.90828194227356
low_unsaturated_Ce,0.6723623752612458
low_unsaturated_beta,1.0763642267618485
low_fast_k,0.000607930631826861
